seq,cell_id,workload,platform,npu,mac_config,memory_mode,timing_adapter,M1_eq_M2_eq_M3,canonical_cycles,npu_active_cycles,npu_idle_cycles,axi0_rd_beats,axi0_wr_beats,axi1_rd_beats,model_sha256,vela_sha256,axf_sha256
1,rnnoise_INT8__SSE-300__ethos-u55-32,rnnoise_INT8,SSE-300,ethos-u55,32,Shared_Sram,ON,True,112059,111737,322,554,386,14178,9c582545b7c13af44616c44b654f4fe721aa2585630b0ca173ca3589f6f11c2c,7728c11b4b5b33029d10648d85d754895bffe713b93048fd7d2ed4a67f8e7611,25fbb4eef2955e708ba133edae5a48a19d09cc370829ea493fd67fed402fa0ba
2,kws_micronet_m__SSE-300__ethos-u55-32,kws_micronet_m,SSE-300,ethos-u55,32,Shared_Sram,ON,True,1416050,1415272,778,147346,48562,17472,c1feed3af5dac44de7477fb4161670ba18a3fc06039e4a14da41b1c4dd454cb4,09bf0e8f3fc493b2938887584ffb6fd47936c04b6ce44b674f7cff93d58e783f,34d3047a7789e232882479d45c2a586a7926f0c631090d789e521e45414d56ff
3,ad_medium_int8__SSE-300__ethos-u55-32,ad_medium_int8,SSE-300,ethos-u55,32,Shared_Sram,ON,True,3202050,3201773,277,516304,138025,55740,a8b1c9037c2a80e6ff770f0a550777cf744a52850bed6545b2bfc9bacf604c98,feb375c21683114ff27cb6572e7749679110cc7558dbb0ed0cac7a44931aa19f,f617315ad7a2d4552014744dabc67a2f5779c4a8bde893b80574cf50b8cc59c1
4,vww4_128_128_INT8__SSE-300__ethos-u55-32,vww4_128_128_INT8,SSE-300,ethos-u55,32,Shared_Sram,ON,True,2294050,2293392,658,244538,160855,40992,5e76364e80c45776b735563679d45f611cab7ce7fef2ec4e2db088afe009ccae,588df75259c199fa13333725662efba934704598c3f4e25d43a74016843cc8a6,ff9f83d05e334f05e76846c6d6408557afcad43b7abf3545703ab7d2894b8df3
5,yolo-fastest_192_face_v4__SSE-300__ethos-u55-32,yolo-fastest_192_face_v4,SSE-300,ethos-u55,32,Shared_Sram,ON,True,7188053,7187344,709,692173,427993,46387,e94bcdb011784bead70ab0c0e9d2dae1a9ea5f103b43e1e6fac3019302cf71ab,9c30cdd344f06d91ed706bdc313a5c565a6dd0e349c3f6ee3d0051184af0290d,81bc9985f0a75b22f8d0fd68e61fb2e0251f2ec652af96a21d925436413ad4e0
6,mobilenet_v2_1.0_224_INT8__SSE-300__ethos-u55-32,mobilenet_v2_1.0_224_INT8,SSE-300,ethos-u55,32,Shared_Sram,ON,True,22781050,22780734,316,3106183,1303885,432248,bd8d56b80557a5fca7acf14f61e5339285c02810f7d7afa714b9763fc4b86e95,11507413d86c7afda68de517b52eff92d62fe996816ff5114092e848563a3048,9ee06f29806dd70b1be36b498149251d86ae7db857466afbc8a13da085a81cc5
7,rnnoise_INT8__SSE-300__ethos-u55-64,rnnoise_INT8,SSE-300,ethos-u55,64,Shared_Sram,ON,True,109059,108557,502,542,386,14176,9c582545b7c13af44616c44b654f4fe721aa2585630b0ca173ca3589f6f11c2c,f860de6f270569d437147e4842c5068cc4819bd88b347100eda514a8c29edcb3,38c20569500d525072d5a69141d9c4ad7e615d2cb58d9d1a5e3b67c366555c9d
8,kws_micronet_m__SSE-300__ethos-u55-64,kws_micronet_m,SSE-300,ethos-u55,64,Shared_Sram,ON,True,730050,729107,943,147454,48592,17513,c1feed3af5dac44de7477fb4161670ba18a3fc06039e4a14da41b1c4dd454cb4,80e6eab37ccb675ae7028d2844e6207a7d500d4f43536e4ea9749362c6be57ee,be5826f832ca3c582c11f882b2f298d087acd59702de865b65c9b88652296f43
9,ad_medium_int8__SSE-300__ethos-u55-64,ad_medium_int8,SSE-300,ethos-u55,64,Shared_Sram,ON,True,1665050,1664233,817,517362,138209,55957,a8b1c9037c2a80e6ff770f0a550777cf744a52850bed6545b2bfc9bacf604c98,b6c5e8d4b57cb6ab2da50515827b457491c902755cf8208e6b80fb09b6273480,3cb6e133177999d84b629d351a8b194fa0b680e06f128979cccd6c8632d665c6
10,vww4_128_128_INT8__SSE-300__ethos-u55-64,vww4_128_128_INT8,SSE-300,ethos-u55,64,Shared_Sram,ON,True,1222050,1221662,388,242228,160991,41327,5e76364e80c45776b735563679d45f611cab7ce7fef2ec4e2db088afe009ccae,3f5f6f65e297e98862a3979cecb214d9cc576e9a0d13c14bacf4d874410675e6,b3085bffe48b87e9676e275a20a153f358c0d06ce4321ee14736e549d6bc0e2a
