platform,npu,mac_config,workload,generation_scope,npu_total_cycles,npu_active_cycles,npu_idle_cycles,axi0_rd_beats,axi0_wr_beats,axi1_rd_beats,cross_generation_comparable
SSE-300,ethos-u55,32,rnnoise_INT8,ethos-u55,112059,111737,322,554,386,14178,"CYCLE,NPU_IDLE only"
SSE-300,ethos-u55,32,kws_micronet_m,ethos-u55,1416050,1415272,778,147346,48562,17472,"CYCLE,NPU_IDLE only"
SSE-300,ethos-u55,32,ad_medium_int8,ethos-u55,3202050,3201773,277,516304,138025,55740,"CYCLE,NPU_IDLE only"
SSE-300,ethos-u55,32,vww4_128_128_INT8,ethos-u55,2294050,2293392,658,244538,160855,40992,"CYCLE,NPU_IDLE only"
SSE-300,ethos-u55,32,yolo-fastest_192_face_v4,ethos-u55,7188053,7187344,709,692173,427993,46387,"CYCLE,NPU_IDLE only"
SSE-300,ethos-u55,32,mobilenet_v2_1.0_224_INT8,ethos-u55,22781050,22780734,316,3106183,1303885,432248,"CYCLE,NPU_IDLE only"
SSE-300,ethos-u55,64,rnnoise_INT8,ethos-u55,109059,108557,502,542,386,14176,"CYCLE,NPU_IDLE only"
SSE-300,ethos-u55,64,kws_micronet_m,ethos-u55,730050,729107,943,147454,48592,17513,"CYCLE,NPU_IDLE only"
SSE-300,ethos-u55,64,ad_medium_int8,ethos-u55,1665050,1664233,817,517362,138209,55957,"CYCLE,NPU_IDLE only"
SSE-300,ethos-u55,64,vww4_128_128_INT8,ethos-u55,1222050,1221662,388,242228,160991,41327,"CYCLE,NPU_IDLE only"
SSE-300,ethos-u55,64,yolo-fastest_192_face_v4,ethos-u55,3680053,3679244,809,690759,427871,46438,"CYCLE,NPU_IDLE only"
SSE-300,ethos-u55,64,mobilenet_v2_1.0_224_INT8,ethos-u55,12100050,12099239,811,3042795,1304483,433323,"CYCLE,NPU_IDLE only"
SSE-300,ethos-u55,128,rnnoise_INT8,ethos-u55,106059,105087,972,542,386,14165,"CYCLE,NPU_IDLE only"
SSE-300,ethos-u55,128,kws_micronet_m,ethos-u55,405050,404092,958,127826,48602,17563,"CYCLE,NPU_IDLE only"
SSE-300,ethos-u55,128,ad_medium_int8,ethos-u55,932050,931844,206,467120,138449,56264,"CYCLE,NPU_IDLE only"
SSE-300,ethos-u55,128,vww4_128_128_INT8,ethos-u55,737050,736964,86,232915,161041,41650,"CYCLE,NPU_IDLE only"
SSE-300,ethos-u55,128,yolo-fastest_192_face_v4,ethos-u55,1993053,1992313,740,621175,427941,46671,"CYCLE,NPU_IDLE only"
SSE-300,ethos-u55,128,mobilenet_v2_1.0_224_INT8,ethos-u55,7365050,7364988,62,2644727,1304643,434266,"CYCLE,NPU_IDLE only"
SSE-300,ethos-u55,256,rnnoise_INT8,ethos-u55,105059,104364,695,542,386,14165,"CYCLE,NPU_IDLE only"
SSE-300,ethos-u55,256,kws_micronet_m,ethos-u55,244050,243666,384,92400,48616,17631,"CYCLE,NPU_IDLE only"
SSE-300,ethos-u55,256,ad_medium_int8,ethos-u55,674050,673190,860,369654,138343,56187,"CYCLE,NPU_IDLE only"
SSE-300,ethos-u55,256,vww4_128_128_INT8,ethos-u55,577050,576336,714,208799,161079,41767,"CYCLE,NPU_IDLE only"
SSE-300,ethos-u55,256,yolo-fastest_192_face_v4,ethos-u55,1334053,1333704,349,565453,427987,46803,"CYCLE,NPU_IDLE only"
SSE-300,ethos-u55,256,mobilenet_v2_1.0_224_INT8,ethos-u55,5474050,5473985,65,2159849,1304743,434483,"CYCLE,NPU_IDLE only"
SSE-300,ethos-u55,256,wav2letter_pruned_int8,ethos-u55,15335050,15334328,722,6941179,1853478,1732537,"CYCLE,NPU_IDLE only"
SSE-300,ethos-u65,256,rnnoise_INT8,ethos-u65,65086,64533,553,207,179,7163,"CYCLE,NPU_IDLE only"
SSE-300,ethos-u65,256,kws_micronet_m,ethos-u65,217068,216553,515,44310,23393,10173,"CYCLE,NPU_IDLE only"
SSE-300,ethos-u65,256,ad_medium_int8,ethos-u65,471068,470324,744,158680,57154,28184,"CYCLE,NPU_IDLE only"
SSE-300,ethos-u65,256,vww4_128_128_INT8,ethos-u65,417068,416424,644,75727,64279,22045,"CYCLE,NPU_IDLE only"
SSE-300,ethos-u65,256,yolo-fastest_192_face_v4,ethos-u65,1119074,1118037,1037,256151,199502,26374,"CYCLE,NPU_IDLE only"
SSE-300,ethos-u65,256,mobilenet_v2_1.0_224_INT8,ethos-u65,3730068,3729063,1005,819627,453488,254532,"CYCLE,NPU_IDLE only"
SSE-300,ethos-u65,256,wav2letter_pruned_int8,ethos-u65,16341068,16340607,461,3317934,886938,1391901,"CYCLE,NPU_IDLE only"
SSE-300,ethos-u65,512,rnnoise_INT8,ethos-u65,50086,49484,602,207,176,7202,"CYCLE,NPU_IDLE only"
SSE-300,ethos-u65,512,kws_micronet_m,ethos-u65,130068,129459,609,46600,23413,10257,"CYCLE,NPU_IDLE only"
SSE-300,ethos-u65,512,ad_medium_int8,ethos-u65,301068,300455,613,160368,57579,28728,"CYCLE,NPU_IDLE only"
SSE-300,ethos-u65,512,vww4_128_128_INT8,ethos-u65,283068,282784,284,76093,64206,22326,"CYCLE,NPU_IDLE only"
SSE-300,ethos-u65,512,yolo-fastest_192_face_v4,ethos-u65,747074,746029,1045,258101,199749,26814,"CYCLE,NPU_IDLE only"
SSE-300,ethos-u65,512,mobilenet_v2_1.0_224_INT8,ethos-u65,2424068,2423399,669,827774,453576,254695,"CYCLE,NPU_IDLE only"
SSE-300,ethos-u65,512,wav2letter_pruned_int8,ethos-u65,9839068,9838044,1024,3299579,881591,1418048,"CYCLE,NPU_IDLE only"
SSE-320,ethos-u85,128,rnnoise_INT8,ethos-u85,36086,35248,838,,,,"CYCLE,NPU_IDLE only"
SSE-320,ethos-u85,128,kws_micronet_m,ethos-u85,369068,368696,372,,,,"CYCLE,NPU_IDLE only"
SSE-320,ethos-u85,128,ad_medium_int8,ethos-u85,731068,730426,642,,,,"CYCLE,NPU_IDLE only"
SSE-320,ethos-u85,128,vww4_128_128_INT8,ethos-u85,511068,510010,1058,,,,"CYCLE,NPU_IDLE only"
SSE-320,ethos-u85,128,yolo-fastest_192_face_v4,ethos-u85,1527074,1526850,224,,,,"CYCLE,NPU_IDLE only"
SSE-320,ethos-u85,128,mobilenet_v2_1.0_224_INT8,ethos-u85,5079068,5078222,846,,,,"CYCLE,NPU_IDLE only"
SSE-320,ethos-u85,128,wav2letter_pruned_int8,ethos-u85,28674068,28673038,1030,,,,"CYCLE,NPU_IDLE only"
SSE-320,ethos-u85,256,rnnoise_INT8,ethos-u85,36086,35206,880,,,,"CYCLE,NPU_IDLE only"
SSE-320,ethos-u85,256,kws_micronet_m,ethos-u85,199068,198564,504,,,,"CYCLE,NPU_IDLE only"
SSE-320,ethos-u85,256,ad_medium_int8,ethos-u85,377068,376021,1047,,,,"CYCLE,NPU_IDLE only"
SSE-320,ethos-u85,256,vww4_128_128_INT8,ethos-u85,287068,286067,1001,,,,"CYCLE,NPU_IDLE only"
SSE-320,ethos-u85,256,yolo-fastest_192_face_v4,ethos-u85,812074,811264,810,,,,"CYCLE,NPU_IDLE only"
SSE-320,ethos-u85,256,mobilenet_v2_1.0_224_INT8,ethos-u85,2874068,2873773,295,,,,"CYCLE,NPU_IDLE only"
SSE-320,ethos-u85,256,wav2letter_pruned_int8,ethos-u85,15147068,15146719,349,,,,"CYCLE,NPU_IDLE only"
SSE-320,ethos-u85,512,rnnoise_INT8,ethos-u85,55086,54330,756,,,,"CYCLE,NPU_IDLE only"
SSE-320,ethos-u85,512,kws_micronet_m,ethos-u85,114068,113986,82,,,,"CYCLE,NPU_IDLE only"
SSE-320,ethos-u85,512,ad_medium_int8,ethos-u85,235068,234552,516,,,,"CYCLE,NPU_IDLE only"
SSE-320,ethos-u85,512,vww4_128_128_INT8,ethos-u85,259068,258022,1046,,,,"CYCLE,NPU_IDLE only"
SSE-320,ethos-u85,512,yolo-fastest_192_face_v4,ethos-u85,587074,586275,799,,,,"CYCLE,NPU_IDLE only"
SSE-320,ethos-u85,512,mobilenet_v2_1.0_224_INT8,ethos-u85,1914068,1913404,664,,,,"CYCLE,NPU_IDLE only"
SSE-320,ethos-u85,512,wav2letter_pruned_int8,ethos-u85,7654068,7653598,470,,,,"CYCLE,NPU_IDLE only"
SSE-320,ethos-u85,1024,rnnoise_INT8,ethos-u85,49086,48560,526,,,,"CYCLE,NPU_IDLE only"
SSE-320,ethos-u85,1024,kws_micronet_m,ethos-u85,90068,89138,930,,,,"CYCLE,NPU_IDLE only"
SSE-320,ethos-u85,1024,ad_medium_int8,ethos-u85,141068,140261,807,,,,"CYCLE,NPU_IDLE only"
SSE-320,ethos-u85,1024,vww4_128_128_INT8,ethos-u85,230068,229082,986,,,,"CYCLE,NPU_IDLE only"
SSE-320,ethos-u85,1024,yolo-fastest_192_face_v4,ethos-u85,439074,438859,215,,,,"CYCLE,NPU_IDLE only"
