config_a,config_b,shared_workloads,spearman_rho
SSE-300/ethos-u55/32,SSE-300/ethos-u55/64,6,1.0
SSE-300/ethos-u55/32,SSE-300/ethos-u55/128,6,1.0
SSE-300/ethos-u55/32,SSE-300/ethos-u55/256,6,1.0
SSE-300/ethos-u55/32,SSE-300/ethos-u65/256,6,1.0
SSE-300/ethos-u55/32,SSE-300/ethos-u65/512,6,1.0
SSE-300/ethos-u55/32,SSE-320/ethos-u85/128,6,1.0
SSE-300/ethos-u55/32,SSE-320/ethos-u85/256,6,1.0
SSE-300/ethos-u55/32,SSE-320/ethos-u85/512,6,0.942857
SSE-300/ethos-u55/32,SSE-320/ethos-u85/1024,6,0.942857
SSE-300/ethos-u55/32,SSE-320/ethos-u85/2048,6,0.942857
SSE-300/ethos-u55/64,SSE-300/ethos-u55/128,6,1.0
SSE-300/ethos-u55/64,SSE-300/ethos-u55/256,6,1.0
SSE-300/ethos-u55/64,SSE-300/ethos-u65/256,6,1.0
SSE-300/ethos-u55/64,SSE-300/ethos-u65/512,6,1.0
SSE-300/ethos-u55/64,SSE-320/ethos-u85/128,6,1.0
SSE-300/ethos-u55/64,SSE-320/ethos-u85/256,6,1.0
SSE-300/ethos-u55/64,SSE-320/ethos-u85/512,6,0.942857
SSE-300/ethos-u55/64,SSE-320/ethos-u85/1024,6,0.942857
SSE-300/ethos-u55/64,SSE-320/ethos-u85/2048,6,0.942857
SSE-300/ethos-u55/128,SSE-300/ethos-u55/256,6,1.0
SSE-300/ethos-u55/128,SSE-300/ethos-u65/256,6,1.0
SSE-300/ethos-u55/128,SSE-300/ethos-u65/512,6,1.0
SSE-300/ethos-u55/128,SSE-320/ethos-u85/128,6,1.0
SSE-300/ethos-u55/128,SSE-320/ethos-u85/256,6,1.0
SSE-300/ethos-u55/128,SSE-320/ethos-u85/512,6,0.942857
SSE-300/ethos-u55/128,SSE-320/ethos-u85/1024,6,0.942857
SSE-300/ethos-u55/128,SSE-320/ethos-u85/2048,6,0.942857
SSE-300/ethos-u55/256,SSE-300/ethos-u65/256,7,1.0
SSE-300/ethos-u55/256,SSE-300/ethos-u65/512,7,1.0
SSE-300/ethos-u55/256,SSE-320/ethos-u85/128,7,1.0
SSE-300/ethos-u55/256,SSE-320/ethos-u85/256,7,1.0
SSE-300/ethos-u55/256,SSE-320/ethos-u85/512,7,0.964286
SSE-300/ethos-u55/256,SSE-320/ethos-u85/1024,7,0.964286
SSE-300/ethos-u55/256,SSE-320/ethos-u85/2048,7,0.964286
SSE-300/ethos-u65/256,SSE-300/ethos-u65/512,7,1.0
SSE-300/ethos-u65/256,SSE-320/ethos-u85/128,7,1.0
SSE-300/ethos-u65/256,SSE-320/ethos-u85/256,7,1.0
SSE-300/ethos-u65/256,SSE-320/ethos-u85/512,7,0.964286
SSE-300/ethos-u65/256,SSE-320/ethos-u85/1024,7,0.964286
SSE-300/ethos-u65/256,SSE-320/ethos-u85/2048,7,0.964286
SSE-300/ethos-u65/512,SSE-320/ethos-u85/128,7,1.0
SSE-300/ethos-u65/512,SSE-320/ethos-u85/256,7,1.0
SSE-300/ethos-u65/512,SSE-320/ethos-u85/512,7,0.964286
SSE-300/ethos-u65/512,SSE-320/ethos-u85/1024,7,0.964286
SSE-300/ethos-u65/512,SSE-320/ethos-u85/2048,7,0.964286
SSE-320/ethos-u85/128,SSE-320/ethos-u85/256,7,1.0
SSE-320/ethos-u85/128,SSE-320/ethos-u85/512,7,0.964286
SSE-320/ethos-u85/128,SSE-320/ethos-u85/1024,7,0.964286
SSE-320/ethos-u85/128,SSE-320/ethos-u85/2048,7,0.964286
SSE-320/ethos-u85/256,SSE-320/ethos-u85/512,7,0.964286
SSE-320/ethos-u85/256,SSE-320/ethos-u85/1024,7,0.964286
SSE-320/ethos-u85/256,SSE-320/ethos-u85/2048,7,0.964286
SSE-320/ethos-u85/512,SSE-320/ethos-u85/1024,7,1.0
SSE-320/ethos-u85/512,SSE-320/ethos-u85/2048,7,1.0
SSE-320/ethos-u85/1024,SSE-320/ethos-u85/2048,7,1.0
