platform,npu,workload,baseline_executable,cumulative_scaling,incremental_points,saturation_point,reason
SSE-300,ethos-u55,ad_medium_int8,True,AVAILABLE,3,NONE_OBSERVED,
SSE-300,ethos-u55,kws_micronet_m,True,AVAILABLE,3,NONE_OBSERVED,
SSE-300,ethos-u55,mobilenet_v2_1.0_224_INT8,True,AVAILABLE,3,NONE_OBSERVED,
SSE-300,ethos-u55,rnnoise_INT8,True,AVAILABLE,3,NONE_OBSERVED,
SSE-300,ethos-u55,vww4_128_128_INT8,True,AVAILABLE,3,NONE_OBSERVED,
SSE-300,ethos-u55,wav2letter_pruned_int8,False,NOT_AVAILABLE,0,NOT_AVAILABLE,PREREGISTERED_BASELINE_NOT_EXECUTABLE
SSE-300,ethos-u55,yolo-fastest_192_face_v4,True,AVAILABLE,3,NONE_OBSERVED,
SSE-300,ethos-u65,ad_medium_int8,True,AVAILABLE,1,NONE_OBSERVED,
SSE-300,ethos-u65,kws_micronet_m,True,AVAILABLE,1,NONE_OBSERVED,
SSE-300,ethos-u65,mobilenet_v2_1.0_224_INT8,True,AVAILABLE,1,NONE_OBSERVED,
SSE-300,ethos-u65,rnnoise_INT8,True,AVAILABLE,1,NONE_OBSERVED,
SSE-300,ethos-u65,vww4_128_128_INT8,True,AVAILABLE,1,NONE_OBSERVED,
SSE-300,ethos-u65,wav2letter_pruned_int8,True,AVAILABLE,1,NONE_OBSERVED,
SSE-300,ethos-u65,yolo-fastest_192_face_v4,True,AVAILABLE,1,NONE_OBSERVED,
SSE-320,ethos-u85,ad_medium_int8,True,AVAILABLE,4,NONE_OBSERVED,
SSE-320,ethos-u85,kws_micronet_m,True,AVAILABLE,4,NONE_OBSERVED,
SSE-320,ethos-u85,mobilenet_v2_1.0_224_INT8,True,AVAILABLE,4,NONE_OBSERVED,
SSE-320,ethos-u85,rnnoise_INT8,True,AVAILABLE,4,512,
SSE-320,ethos-u85,vww4_128_128_INT8,True,AVAILABLE,4,NONE_OBSERVED,
SSE-320,ethos-u85,wav2letter_pruned_int8,True,AVAILABLE,4,NONE_OBSERVED,
SSE-320,ethos-u85,yolo-fastest_192_face_v4,True,AVAILABLE,4,NONE_OBSERVED,
