platform,npu,workload,mac,status,cycles,speedup,cumulative_efficiency
SSE-300,ethos-u55,ad_medium_int8,32,EXECUTABLE,3202050,1.0,1.0
SSE-300,ethos-u55,ad_medium_int8,64,EXECUTABLE,1665050,1.923095,0.961548
SSE-300,ethos-u55,ad_medium_int8,128,EXECUTABLE,932050,3.435492,0.858873
SSE-300,ethos-u55,ad_medium_int8,256,EXECUTABLE,674050,4.750464,0.593808
SSE-300,ethos-u55,ad_medium_int8,32->64,STRONG,,,0.961548
SSE-300,ethos-u55,ad_medium_int8,64->128,STRONG,,,0.893219
SSE-300,ethos-u55,ad_medium_int8,128->256,PARTIAL,,,0.69138
SSE-300,ethos-u55,kws_micronet_m,32,EXECUTABLE,1416050,1.0,1.0
SSE-300,ethos-u55,kws_micronet_m,64,EXECUTABLE,730050,1.939662,0.969831
SSE-300,ethos-u55,kws_micronet_m,128,EXECUTABLE,405050,3.495988,0.873997
SSE-300,ethos-u55,kws_micronet_m,256,EXECUTABLE,244050,5.802295,0.725287
SSE-300,ethos-u55,kws_micronet_m,32->64,STRONG,,,0.969831
SSE-300,ethos-u55,kws_micronet_m,64->128,STRONG,,,0.901185
SSE-300,ethos-u55,kws_micronet_m,128->256,STRONG,,,0.82985
SSE-300,ethos-u55,mobilenet_v2_1.0_224_INT8,32,EXECUTABLE,22781050,1.0,1.0
SSE-300,ethos-u55,mobilenet_v2_1.0_224_INT8,64,EXECUTABLE,12100050,1.882724,0.941362
SSE-300,ethos-u55,mobilenet_v2_1.0_224_INT8,128,EXECUTABLE,7365050,3.093129,0.773282
SSE-300,ethos-u55,mobilenet_v2_1.0_224_INT8,256,EXECUTABLE,5474050,4.161644,0.520206
SSE-300,ethos-u55,mobilenet_v2_1.0_224_INT8,32->64,STRONG,,,0.941362
SSE-300,ethos-u55,mobilenet_v2_1.0_224_INT8,64->128,STRONG,,,0.821451
SSE-300,ethos-u55,mobilenet_v2_1.0_224_INT8,128->256,PARTIAL,,,0.672724
SSE-300,ethos-u55,rnnoise_INT8,32,EXECUTABLE,112059,1.0,1.0
SSE-300,ethos-u55,rnnoise_INT8,64,EXECUTABLE,109059,1.027508,0.513754
SSE-300,ethos-u55,rnnoise_INT8,128,EXECUTABLE,106059,1.056572,0.264143
SSE-300,ethos-u55,rnnoise_INT8,256,EXECUTABLE,105059,1.066629,0.133329
SSE-300,ethos-u55,rnnoise_INT8,32->64,PARTIAL,,,0.513754
SSE-300,ethos-u55,rnnoise_INT8,64->128,PARTIAL,,,0.514143
SSE-300,ethos-u55,rnnoise_INT8,128->256,PARTIAL,,,0.504759
SSE-300,ethos-u55,vww4_128_128_INT8,32,EXECUTABLE,2294050,1.0,1.0
SSE-300,ethos-u55,vww4_128_128_INT8,64,EXECUTABLE,1222050,1.877215,0.938607
SSE-300,ethos-u55,vww4_128_128_INT8,128,EXECUTABLE,737050,3.112475,0.778119
SSE-300,ethos-u55,vww4_128_128_INT8,256,EXECUTABLE,577050,3.975479,0.496935
SSE-300,ethos-u55,vww4_128_128_INT8,32->64,STRONG,,,0.938607
SSE-300,ethos-u55,vww4_128_128_INT8,64->128,STRONG,,,0.829014
SSE-300,ethos-u55,vww4_128_128_INT8,128->256,PARTIAL,,,0.638636
SSE-300,ethos-u55,wav2letter_pruned_int8,32->64,NOT_AVAILABLE,,,
SSE-300,ethos-u55,wav2letter_pruned_int8,64->128,NOT_AVAILABLE,,,
SSE-300,ethos-u55,wav2letter_pruned_int8,128->256,NOT_AVAILABLE,,,
SSE-300,ethos-u55,yolo-fastest_192_face_v4,32,EXECUTABLE,7188053,1.0,1.0
SSE-300,ethos-u55,yolo-fastest_192_face_v4,64,EXECUTABLE,3680053,1.953247,0.976624
SSE-300,ethos-u55,yolo-fastest_192_face_v4,128,EXECUTABLE,1993053,3.606554,0.901638
SSE-300,ethos-u55,yolo-fastest_192_face_v4,256,EXECUTABLE,1334053,5.388132,0.673516
SSE-300,ethos-u55,yolo-fastest_192_face_v4,32->64,STRONG,,,0.976624
SSE-300,ethos-u55,yolo-fastest_192_face_v4,64->128,STRONG,,,0.92322
SSE-300,ethos-u55,yolo-fastest_192_face_v4,128->256,PARTIAL,,,0.746992
SSE-300,ethos-u65,ad_medium_int8,256,EXECUTABLE,471068,1.0,1.0
SSE-300,ethos-u65,ad_medium_int8,512,EXECUTABLE,301068,1.564656,0.782328
SSE-300,ethos-u65,ad_medium_int8,256->512,STRONG,,,0.782328
SSE-300,ethos-u65,kws_micronet_m,256,EXECUTABLE,217068,1.0,1.0
SSE-300,ethos-u65,kws_micronet_m,512,EXECUTABLE,130068,1.668881,0.83444
SSE-300,ethos-u65,kws_micronet_m,256->512,STRONG,,,0.83444
SSE-300,ethos-u65,mobilenet_v2_1.0_224_INT8,256,EXECUTABLE,3730068,1.0,1.0
SSE-300,ethos-u65,mobilenet_v2_1.0_224_INT8,512,EXECUTABLE,2424068,1.538764,0.769382
SSE-300,ethos-u65,mobilenet_v2_1.0_224_INT8,256->512,STRONG,,,0.769382
SSE-300,ethos-u65,rnnoise_INT8,256,EXECUTABLE,65086,1.0,1.0
SSE-300,ethos-u65,rnnoise_INT8,512,EXECUTABLE,50086,1.299485,0.649742
SSE-300,ethos-u65,rnnoise_INT8,256->512,PARTIAL,,,0.649742
SSE-300,ethos-u65,vww4_128_128_INT8,256,EXECUTABLE,417068,1.0,1.0
SSE-300,ethos-u65,vww4_128_128_INT8,512,EXECUTABLE,283068,1.473384,0.736692
SSE-300,ethos-u65,vww4_128_128_INT8,256->512,PARTIAL,,,0.736692
SSE-300,ethos-u65,wav2letter_pruned_int8,256,EXECUTABLE,16341068,1.0,1.0
SSE-300,ethos-u65,wav2letter_pruned_int8,512,EXECUTABLE,9839068,1.660835,0.830417
SSE-300,ethos-u65,wav2letter_pruned_int8,256->512,STRONG,,,0.830417
SSE-300,ethos-u65,yolo-fastest_192_face_v4,256,EXECUTABLE,1119074,1.0,1.0
SSE-300,ethos-u65,yolo-fastest_192_face_v4,512,EXECUTABLE,747074,1.497943,0.748971
SSE-300,ethos-u65,yolo-fastest_192_face_v4,256->512,PARTIAL,,,0.748971
SSE-320,ethos-u85,ad_medium_int8,128,EXECUTABLE,731068,1.0,1.0
SSE-320,ethos-u85,ad_medium_int8,256,EXECUTABLE,377068,1.938823,0.969411
SSE-320,ethos-u85,ad_medium_int8,512,EXECUTABLE,235068,3.110028,0.777507
SSE-320,ethos-u85,ad_medium_int8,1024,EXECUTABLE,141068,5.18238,0.647798
SSE-320,ethos-u85,ad_medium_int8,2048,EXECUTABLE,110068,6.641967,0.415123
SSE-320,ethos-u85,ad_medium_int8,128->256,STRONG,,,0.969411
SSE-320,ethos-u85,ad_medium_int8,256->512,STRONG,,,0.80204
SSE-320,ethos-u85,ad_medium_int8,512->1024,STRONG,,,0.833173
SSE-320,ethos-u85,ad_medium_int8,1024->2048,PARTIAL,,,0.640822
SSE-320,ethos-u85,kws_micronet_m,128,EXECUTABLE,369068,1.0,1.0
SSE-320,ethos-u85,kws_micronet_m,256,EXECUTABLE,199068,1.85398,0.92699
SSE-320,ethos-u85,kws_micronet_m,512,EXECUTABLE,114068,3.235509,0.808877
SSE-320,ethos-u85,kws_micronet_m,1024,EXECUTABLE,90068,4.09766,0.512207
SSE-320,ethos-u85,kws_micronet_m,2048,EXECUTABLE,67068,5.502893,0.343931
SSE-320,ethos-u85,kws_micronet_m,128->256,STRONG,,,0.92699
SSE-320,ethos-u85,kws_micronet_m,256->512,STRONG,,,0.872585
SSE-320,ethos-u85,kws_micronet_m,512->1024,PARTIAL,,,0.633233
SSE-320,ethos-u85,kws_micronet_m,1024->2048,PARTIAL,,,0.671468
SSE-320,ethos-u85,mobilenet_v2_1.0_224_INT8,128,EXECUTABLE,5079068,1.0,1.0
SSE-320,ethos-u85,mobilenet_v2_1.0_224_INT8,256,EXECUTABLE,2874068,1.767205,0.883603
SSE-320,ethos-u85,mobilenet_v2_1.0_224_INT8,512,EXECUTABLE,1914068,2.653546,0.663387
SSE-320,ethos-u85,mobilenet_v2_1.0_224_INT8,1024,EXECUTABLE,1406068,3.612249,0.451531
SSE-320,ethos-u85,mobilenet_v2_1.0_224_INT8,2048,EXECUTABLE,1067068,4.759835,0.29749
SSE-320,ethos-u85,mobilenet_v2_1.0_224_INT8,128->256,STRONG,,,0.883603
SSE-320,ethos-u85,mobilenet_v2_1.0_224_INT8,256->512,STRONG,,,0.750775
SSE-320,ethos-u85,mobilenet_v2_1.0_224_INT8,512->1024,PARTIAL,,,0.680646
SSE-320,ethos-u85,mobilenet_v2_1.0_224_INT8,1024->2048,PARTIAL,,,0.658846
SSE-320,ethos-u85,rnnoise_INT8,128,EXECUTABLE,36086,1.0,1.0
SSE-320,ethos-u85,rnnoise_INT8,256,EXECUTABLE,36086,1.0,0.5
SSE-320,ethos-u85,rnnoise_INT8,512,EXECUTABLE,55086,0.655085,0.163771
SSE-320,ethos-u85,rnnoise_INT8,1024,EXECUTABLE,49086,0.735159,0.091895
SSE-320,ethos-u85,rnnoise_INT8,2048,EXECUTABLE,54086,0.667197,0.0417
SSE-320,ethos-u85,rnnoise_INT8,128->256,PARTIAL,,,0.5
SSE-320,ethos-u85,rnnoise_INT8,256->512,WEAK_OR_SATURATED,,,0.327542
SSE-320,ethos-u85,rnnoise_INT8,512->1024,PARTIAL,,,0.561117
SSE-320,ethos-u85,rnnoise_INT8,1024->2048,WEAK_OR_SATURATED,,,0.453777
SSE-320,ethos-u85,vww4_128_128_INT8,128,EXECUTABLE,511068,1.0,1.0
SSE-320,ethos-u85,vww4_128_128_INT8,256,EXECUTABLE,287068,1.780303,0.890151
SSE-320,ethos-u85,vww4_128_128_INT8,512,EXECUTABLE,259068,1.972718,0.493179
SSE-320,ethos-u85,vww4_128_128_INT8,1024,EXECUTABLE,230068,2.221378,0.277672
SSE-320,ethos-u85,vww4_128_128_INT8,2048,EXECUTABLE,214068,2.38741,0.149213
SSE-320,ethos-u85,vww4_128_128_INT8,128->256,STRONG,,,0.890151
SSE-320,ethos-u85,vww4_128_128_INT8,256->512,PARTIAL,,,0.55404
SSE-320,ethos-u85,vww4_128_128_INT8,512->1024,PARTIAL,,,0.563025
SSE-320,ethos-u85,vww4_128_128_INT8,1024->2048,PARTIAL,,,0.537371
SSE-320,ethos-u85,wav2letter_pruned_int8,128,EXECUTABLE,28674068,1.0,1.0
SSE-320,ethos-u85,wav2letter_pruned_int8,256,EXECUTABLE,15147068,1.893044,0.946522
SSE-320,ethos-u85,wav2letter_pruned_int8,512,EXECUTABLE,7654068,3.746252,0.936563
SSE-320,ethos-u85,wav2letter_pruned_int8,1024,EXECUTABLE,4115068,6.968067,0.871008
SSE-320,ethos-u85,wav2letter_pruned_int8,2048,EXECUTABLE,2624068,10.927334,0.682958
SSE-320,ethos-u85,wav2letter_pruned_int8,128->256,STRONG,,,0.946522
SSE-320,ethos-u85,wav2letter_pruned_int8,256->512,STRONG,,,0.989478
SSE-320,ethos-u85,wav2letter_pruned_int8,512->1024,STRONG,,,0.930005
SSE-320,ethos-u85,wav2letter_pruned_int8,1024->2048,STRONG,,,0.784101
SSE-320,ethos-u85,yolo-fastest_192_face_v4,128,EXECUTABLE,1527074,1.0,1.0
SSE-320,ethos-u85,yolo-fastest_192_face_v4,256,EXECUTABLE,812074,1.880462,0.940231
SSE-320,ethos-u85,yolo-fastest_192_face_v4,512,EXECUTABLE,587074,2.601161,0.65029
SSE-320,ethos-u85,yolo-fastest_192_face_v4,1024,EXECUTABLE,439074,3.477942,0.434743
SSE-320,ethos-u85,yolo-fastest_192_face_v4,2048,EXECUTABLE,355074,4.30072,0.268795
SSE-320,ethos-u85,yolo-fastest_192_face_v4,128->256,STRONG,,,0.940231
SSE-320,ethos-u85,yolo-fastest_192_face_v4,256->512,PARTIAL,,,0.691628
SSE-320,ethos-u85,yolo-fastest_192_face_v4,512->1024,PARTIAL,,,0.668537
SSE-320,ethos-u85,yolo-fastest_192_face_v4,1024->2048,PARTIAL,,,0.618285
