platform,npu,workload,fvp_saturation,vela_saturation,saturation_agrees,incremental_class_agreement,speedup_rank_rho
SSE-300,ethos-u55,ad_medium_int8,NONE_OBSERVED,NONE_OBSERVED,True,2/3,1.0
SSE-300,ethos-u55,kws_micronet_m,NONE_OBSERVED,NONE_OBSERVED,True,3/3,1.0
SSE-300,ethos-u55,mobilenet_v2_1.0_224_INT8,NONE_OBSERVED,NONE_OBSERVED,True,3/3,1.0
SSE-300,ethos-u55,rnnoise_INT8,NONE_OBSERVED,NONE_OBSERVED,True,2/3,1.0
SSE-300,ethos-u55,vww4_128_128_INT8,NONE_OBSERVED,NONE_OBSERVED,True,1/3,1.0
SSE-300,ethos-u55,yolo-fastest_192_face_v4,NONE_OBSERVED,NONE_OBSERVED,True,3/3,1.0
SSE-300,ethos-u65,ad_medium_int8,NONE_OBSERVED,NONE_OBSERVED,True,0/1,1.0
SSE-300,ethos-u65,kws_micronet_m,NONE_OBSERVED,NONE_OBSERVED,True,0/1,1.0
SSE-300,ethos-u65,mobilenet_v2_1.0_224_INT8,NONE_OBSERVED,NONE_OBSERVED,True,0/1,1.0
SSE-300,ethos-u65,rnnoise_INT8,NONE_OBSERVED,NONE_OBSERVED,True,1/1,1.0
SSE-300,ethos-u65,vww4_128_128_INT8,NONE_OBSERVED,NONE_OBSERVED,True,1/1,1.0
SSE-300,ethos-u65,wav2letter_pruned_int8,NONE_OBSERVED,NONE_OBSERVED,True,1/1,1.0
SSE-300,ethos-u65,yolo-fastest_192_face_v4,NONE_OBSERVED,NONE_OBSERVED,True,1/1,1.0
SSE-320,ethos-u85,ad_medium_int8,NONE_OBSERVED,NONE_OBSERVED,True,4/4,1.0
SSE-320,ethos-u85,kws_micronet_m,NONE_OBSERVED,NONE_OBSERVED,True,3/4,1.0
SSE-320,ethos-u85,mobilenet_v2_1.0_224_INT8,NONE_OBSERVED,NONE_OBSERVED,True,4/4,1.0
SSE-320,ethos-u85,rnnoise_INT8,512,1024,False,2/4,-0.359092
SSE-320,ethos-u85,vww4_128_128_INT8,NONE_OBSERVED,NONE_OBSERVED,True,4/4,1.0
SSE-320,ethos-u85,wav2letter_pruned_int8,NONE_OBSERVED,NONE_OBSERVED,True,2/4,1.0
SSE-320,ethos-u85,yolo-fastest_192_face_v4,NONE_OBSERVED,NONE_OBSERVED,True,3/4,1.0
