platform,npu,mac_config,rank,workload,canonical_cycles
SSE-300,ethos-u55,32,1,rnnoise_INT8,112059
SSE-300,ethos-u55,32,2,kws_micronet_m,1416050
SSE-300,ethos-u55,32,3,vww4_128_128_INT8,2294050
SSE-300,ethos-u55,32,4,ad_medium_int8,3202050
SSE-300,ethos-u55,32,5,yolo-fastest_192_face_v4,7188053
SSE-300,ethos-u55,32,6,mobilenet_v2_1.0_224_INT8,22781050
SSE-300,ethos-u55,64,1,rnnoise_INT8,109059
SSE-300,ethos-u55,64,2,kws_micronet_m,730050
SSE-300,ethos-u55,64,3,vww4_128_128_INT8,1222050
SSE-300,ethos-u55,64,4,ad_medium_int8,1665050
SSE-300,ethos-u55,64,5,yolo-fastest_192_face_v4,3680053
SSE-300,ethos-u55,64,6,mobilenet_v2_1.0_224_INT8,12100050
SSE-300,ethos-u55,128,1,rnnoise_INT8,106059
SSE-300,ethos-u55,128,2,kws_micronet_m,405050
SSE-300,ethos-u55,128,3,vww4_128_128_INT8,737050
SSE-300,ethos-u55,128,4,ad_medium_int8,932050
SSE-300,ethos-u55,128,5,yolo-fastest_192_face_v4,1993053
SSE-300,ethos-u55,128,6,mobilenet_v2_1.0_224_INT8,7365050
SSE-300,ethos-u55,256,1,rnnoise_INT8,105059
SSE-300,ethos-u55,256,2,kws_micronet_m,244050
SSE-300,ethos-u55,256,3,vww4_128_128_INT8,577050
SSE-300,ethos-u55,256,4,ad_medium_int8,674050
SSE-300,ethos-u55,256,5,yolo-fastest_192_face_v4,1334053
SSE-300,ethos-u55,256,6,mobilenet_v2_1.0_224_INT8,5474050
SSE-300,ethos-u55,256,7,wav2letter_pruned_int8,15335050
SSE-300,ethos-u65,256,1,rnnoise_INT8,65086
SSE-300,ethos-u65,256,2,kws_micronet_m,217068
SSE-300,ethos-u65,256,3,vww4_128_128_INT8,417068
SSE-300,ethos-u65,256,4,ad_medium_int8,471068
SSE-300,ethos-u65,256,5,yolo-fastest_192_face_v4,1119074
SSE-300,ethos-u65,256,6,mobilenet_v2_1.0_224_INT8,3730068
SSE-300,ethos-u65,256,7,wav2letter_pruned_int8,16341068
SSE-300,ethos-u65,512,1,rnnoise_INT8,50086
SSE-300,ethos-u65,512,2,kws_micronet_m,130068
SSE-300,ethos-u65,512,3,vww4_128_128_INT8,283068
SSE-300,ethos-u65,512,4,ad_medium_int8,301068
SSE-300,ethos-u65,512,5,yolo-fastest_192_face_v4,747074
SSE-300,ethos-u65,512,6,mobilenet_v2_1.0_224_INT8,2424068
SSE-300,ethos-u65,512,7,wav2letter_pruned_int8,9839068
SSE-320,ethos-u85,128,1,rnnoise_INT8,36086
SSE-320,ethos-u85,128,2,kws_micronet_m,369068
SSE-320,ethos-u85,128,3,vww4_128_128_INT8,511068
SSE-320,ethos-u85,128,4,ad_medium_int8,731068
SSE-320,ethos-u85,128,5,yolo-fastest_192_face_v4,1527074
SSE-320,ethos-u85,128,6,mobilenet_v2_1.0_224_INT8,5079068
SSE-320,ethos-u85,128,7,wav2letter_pruned_int8,28674068
SSE-320,ethos-u85,256,1,rnnoise_INT8,36086
SSE-320,ethos-u85,256,2,kws_micronet_m,199068
SSE-320,ethos-u85,256,3,vww4_128_128_INT8,287068
SSE-320,ethos-u85,256,4,ad_medium_int8,377068
SSE-320,ethos-u85,256,5,yolo-fastest_192_face_v4,812074
SSE-320,ethos-u85,256,6,mobilenet_v2_1.0_224_INT8,2874068
SSE-320,ethos-u85,256,7,wav2letter_pruned_int8,15147068
SSE-320,ethos-u85,512,1,rnnoise_INT8,55086
SSE-320,ethos-u85,512,2,kws_micronet_m,114068
SSE-320,ethos-u85,512,3,ad_medium_int8,235068
SSE-320,ethos-u85,512,4,vww4_128_128_INT8,259068
SSE-320,ethos-u85,512,5,yolo-fastest_192_face_v4,587074
SSE-320,ethos-u85,512,6,mobilenet_v2_1.0_224_INT8,1914068
SSE-320,ethos-u85,512,7,wav2letter_pruned_int8,7654068
SSE-320,ethos-u85,1024,1,rnnoise_INT8,49086
SSE-320,ethos-u85,1024,2,kws_micronet_m,90068
SSE-320,ethos-u85,1024,3,ad_medium_int8,141068
SSE-320,ethos-u85,1024,4,vww4_128_128_INT8,230068
SSE-320,ethos-u85,1024,5,yolo-fastest_192_face_v4,439074
SSE-320,ethos-u85,1024,6,mobilenet_v2_1.0_224_INT8,1406068
SSE-320,ethos-u85,1024,7,wav2letter_pruned_int8,4115068
SSE-320,ethos-u85,2048,1,rnnoise_INT8,54086
SSE-320,ethos-u85,2048,2,kws_micronet_m,67068
SSE-320,ethos-u85,2048,3,ad_medium_int8,110068
SSE-320,ethos-u85,2048,4,vww4_128_128_INT8,214068
SSE-320,ethos-u85,2048,5,yolo-fastest_192_face_v4,355074
SSE-320,ethos-u85,2048,6,mobilenet_v2_1.0_224_INT8,1067068
SSE-320,ethos-u85,2048,7,wav2letter_pruned_int8,2624068
