accelerator_config,cpu_operator_pct,cpu_operators,mac_config,memory_mode,model,model_sha256,npu,npu_operators,output_artifact,output_sha256,platform,success,system_config,vela_args,vela_core_clock,vela_cycles_dram_access,vela_cycles_npu,vela_cycles_sram_access,vela_cycles_total,vela_dram_memory_used,vela_dram_total_bytes,vela_inference_time,vela_sram_memory_used,vela_sram_total_bytes,vela_total_npu_encoded_weights,vela_version
ethos-u55-32,0.0,0,32,Shared_Sram,rnnoise_INT8,9c582545b7c13af44616c44b654f4fe721aa2585630b0ca173ca3589f6f11c2c,ethos-u55,48,rnnoise_INT8_vela.tflite,7728c11b4b5b33029d10648d85d754895bffe713b93048fd7d2ed4a67f8e7611,SSE-300,True,Ethos_U55_High_End_Embedded,--accelerator-config ethos-u55-32 --config /opt/arm/ml-embedded-evaluation-kit/scripts/vela/default_vela.ini --system-config Ethos_U55_High_End_Embedded --memory-mode Shared_Sram --optimise Performance --output-dir /tmp/vela_matrix/rnnoise_INT8__SSE-300__ethos-u55-32 /opt/arm/ml-embedded-evaluation-kit/resources_downloaded/noise_reduction/rnnoise_INT8.tflite,500000000.0,0,23094,1623,114315,0.0,0,0.00022863,0.9375,13008,95120,5.0.0
ethos-u55-64,0.0,0,64,Shared_Sram,rnnoise_INT8,9c582545b7c13af44616c44b654f4fe721aa2585630b0ca173ca3589f6f11c2c,ethos-u55,48,rnnoise_INT8_vela.tflite,f860de6f270569d437147e4842c5068cc4819bd88b347100eda514a8c29edcb3,SSE-300,True,Ethos_U55_High_End_Embedded,--accelerator-config ethos-u55-64 --config /opt/arm/ml-embedded-evaluation-kit/scripts/vela/default_vela.ini --system-config Ethos_U55_High_End_Embedded --memory-mode Shared_Sram --optimise Performance --output-dir /tmp/vela_matrix/rnnoise_INT8__SSE-300__ethos-u55-64 /opt/arm/ml-embedded-evaluation-kit/resources_downloaded/noise_reduction/rnnoise_INT8.tflite,500000000.0,0,19877,1568,111011,0.0,0,0.000222022,0.9375,12576,95136,5.0.0
ethos-u55-128,0.0,0,128,Shared_Sram,rnnoise_INT8,9c582545b7c13af44616c44b654f4fe721aa2585630b0ca173ca3589f6f11c2c,ethos-u55,48,rnnoise_INT8_vela.tflite,dc90c7834d575c66e759e294c1e22380d2b3c387cc41ead31b6810c0e714e0f3,SSE-300,True,Ethos_U55_High_End_Embedded,--accelerator-config ethos-u55-128 --config /opt/arm/ml-embedded-evaluation-kit/scripts/vela/default_vela.ini --system-config Ethos_U55_High_End_Embedded --memory-mode Shared_Sram --optimise Performance --output-dir /tmp/vela_matrix/rnnoise_INT8__SSE-300__ethos-u55-128 /opt/arm/ml-embedded-evaluation-kit/resources_downloaded/noise_reduction/rnnoise_INT8.tflite,500000000.0,0,18268,1099,109405,0.0,0,0.00021881,0.9375,8820,95136,5.0.0
ethos-u55-256,0.0,0,256,Shared_Sram,rnnoise_INT8,9c582545b7c13af44616c44b654f4fe721aa2585630b0ca173ca3589f6f11c2c,ethos-u55,48,rnnoise_INT8_vela.tflite,2fdebe4cbda30f7d2b94668673cf70bdf11b6a745f5970285524c6a0593b4221,SSE-300,True,Ethos_U55_High_End_Embedded,--accelerator-config ethos-u55-256 --config /opt/arm/ml-embedded-evaluation-kit/scripts/vela/default_vela.ini --system-config Ethos_U55_High_End_Embedded --memory-mode Shared_Sram --optimise Performance --output-dir /tmp/vela_matrix/rnnoise_INT8__SSE-300__ethos-u55-256 /opt/arm/ml-embedded-evaluation-kit/resources_downloaded/noise_reduction/rnnoise_INT8.tflite,500000000.0,0,17816,1099,108953,0.0,0,0.000217906,0.9375,8820,95136,5.0.0
ethos-u65-256,0.0,0,256,Dedicated_Sram,rnnoise_INT8,9c582545b7c13af44616c44b654f4fe721aa2585630b0ca173ca3589f6f11c2c,ethos-u65,48,rnnoise_INT8_vela.tflite,adbda150d7ef0c99ce65f699bb0dbc818fa50b6ea073c0386c472187a3af1b33,SSE-300,True,Ethos_U65_High_End,--accelerator-config ethos-u65-256 --config /opt/arm/ml-embedded-evaluation-kit/scripts/vela/default_vela.ini --system-config Ethos_U65_High_End --memory-mode Dedicated_Sram --optimise Performance --output-dir /tmp/vela_matrix/rnnoise_INT8__SSE-300__ethos-u65-256 /opt/arm/ml-embedded-evaluation-kit/resources_downloaded/noise_reduction/rnnoise_INT8.tflite,1000000000.0,29798,32738,444,37132,106.265625,111781,3.7132e-05,0.6875,7122,95136,5.0.0
ethos-u65-512,0.0,0,512,Dedicated_Sram,rnnoise_INT8,9c582545b7c13af44616c44b654f4fe721aa2585630b0ca173ca3589f6f11c2c,ethos-u65,48,rnnoise_INT8_vela.tflite,13c2f7daab192e34784b571eb97cea752005b3969cda1135dd637fd73306cbb7,SSE-300,True,Ethos_U65_High_End,--accelerator-config ethos-u65-512 --config /opt/arm/ml-embedded-evaluation-kit/scripts/vela/default_vela.ini --system-config Ethos_U65_High_End --memory-mode Dedicated_Sram --optimise Performance --output-dir /tmp/vela_matrix/rnnoise_INT8__SSE-300__ethos-u65-512 /opt/arm/ml-embedded-evaluation-kit/resources_downloaded/noise_reduction/rnnoise_INT8.tflite,1000000000.0,29617,28849,368,35624,106.625,111098,3.5624e-05,0.6875,5934,95456,5.0.0
ethos-u55-32,0.0,0,32,Shared_Sram,rnnoise_INT8,9c582545b7c13af44616c44b654f4fe721aa2585630b0ca173ca3589f6f11c2c,ethos-u55,48,rnnoise_INT8_vela.tflite,7728c11b4b5b33029d10648d85d754895bffe713b93048fd7d2ed4a67f8e7611,SSE-310,True,Ethos_U55_High_End_Embedded,--accelerator-config ethos-u55-32 --config /opt/arm/ml-embedded-evaluation-kit/scripts/vela/default_vela.ini --system-config Ethos_U55_High_End_Embedded --memory-mode Shared_Sram --optimise Performance --output-dir /tmp/vela_matrix/rnnoise_INT8__SSE-310__ethos-u55-32 /opt/arm/ml-embedded-evaluation-kit/resources_downloaded/noise_reduction/rnnoise_INT8.tflite,500000000.0,0,23094,1623,114315,0.0,0,0.00022863,0.9375,13008,95120,5.0.0
ethos-u55-64,0.0,0,64,Shared_Sram,rnnoise_INT8,9c582545b7c13af44616c44b654f4fe721aa2585630b0ca173ca3589f6f11c2c,ethos-u55,48,rnnoise_INT8_vela.tflite,f860de6f270569d437147e4842c5068cc4819bd88b347100eda514a8c29edcb3,SSE-310,True,Ethos_U55_High_End_Embedded,--accelerator-config ethos-u55-64 --config /opt/arm/ml-embedded-evaluation-kit/scripts/vela/default_vela.ini --system-config Ethos_U55_High_End_Embedded --memory-mode Shared_Sram --optimise Performance --output-dir /tmp/vela_matrix/rnnoise_INT8__SSE-310__ethos-u55-64 /opt/arm/ml-embedded-evaluation-kit/resources_downloaded/noise_reduction/rnnoise_INT8.tflite,500000000.0,0,19877,1568,111011,0.0,0,0.000222022,0.9375,12576,95136,5.0.0
ethos-u55-128,0.0,0,128,Shared_Sram,rnnoise_INT8,9c582545b7c13af44616c44b654f4fe721aa2585630b0ca173ca3589f6f11c2c,ethos-u55,48,rnnoise_INT8_vela.tflite,dc90c7834d575c66e759e294c1e22380d2b3c387cc41ead31b6810c0e714e0f3,SSE-310,True,Ethos_U55_High_End_Embedded,--accelerator-config ethos-u55-128 --config /opt/arm/ml-embedded-evaluation-kit/scripts/vela/default_vela.ini --system-config Ethos_U55_High_End_Embedded --memory-mode Shared_Sram --optimise Performance --output-dir /tmp/vela_matrix/rnnoise_INT8__SSE-310__ethos-u55-128 /opt/arm/ml-embedded-evaluation-kit/resources_downloaded/noise_reduction/rnnoise_INT8.tflite,500000000.0,0,18268,1099,109405,0.0,0,0.00021881,0.9375,8820,95136,5.0.0
ethos-u55-256,0.0,0,256,Shared_Sram,rnnoise_INT8,9c582545b7c13af44616c44b654f4fe721aa2585630b0ca173ca3589f6f11c2c,ethos-u55,48,rnnoise_INT8_vela.tflite,2fdebe4cbda30f7d2b94668673cf70bdf11b6a745f5970285524c6a0593b4221,SSE-310,True,Ethos_U55_High_End_Embedded,--accelerator-config ethos-u55-256 --config /opt/arm/ml-embedded-evaluation-kit/scripts/vela/default_vela.ini --system-config Ethos_U55_High_End_Embedded --memory-mode Shared_Sram --optimise Performance --output-dir /tmp/vela_matrix/rnnoise_INT8__SSE-310__ethos-u55-256 /opt/arm/ml-embedded-evaluation-kit/resources_downloaded/noise_reduction/rnnoise_INT8.tflite,500000000.0,0,17816,1099,108953,0.0,0,0.000217906,0.9375,8820,95136,5.0.0
ethos-u65-256,0.0,0,256,Dedicated_Sram,rnnoise_INT8,9c582545b7c13af44616c44b654f4fe721aa2585630b0ca173ca3589f6f11c2c,ethos-u65,48,rnnoise_INT8_vela.tflite,adbda150d7ef0c99ce65f699bb0dbc818fa50b6ea073c0386c472187a3af1b33,SSE-310,True,Ethos_U65_High_End,--accelerator-config ethos-u65-256 --config /opt/arm/ml-embedded-evaluation-kit/scripts/vela/default_vela.ini --system-config Ethos_U65_High_End --memory-mode Dedicated_Sram --optimise Performance --output-dir /tmp/vela_matrix/rnnoise_INT8__SSE-310__ethos-u65-256 /opt/arm/ml-embedded-evaluation-kit/resources_downloaded/noise_reduction/rnnoise_INT8.tflite,1000000000.0,29798,32738,444,37132,106.265625,111781,3.7132e-05,0.6875,7122,95136,5.0.0
ethos-u65-512,0.0,0,512,Dedicated_Sram,rnnoise_INT8,9c582545b7c13af44616c44b654f4fe721aa2585630b0ca173ca3589f6f11c2c,ethos-u65,48,rnnoise_INT8_vela.tflite,13c2f7daab192e34784b571eb97cea752005b3969cda1135dd637fd73306cbb7,SSE-310,True,Ethos_U65_High_End,--accelerator-config ethos-u65-512 --config /opt/arm/ml-embedded-evaluation-kit/scripts/vela/default_vela.ini --system-config Ethos_U65_High_End --memory-mode Dedicated_Sram --optimise Performance --output-dir /tmp/vela_matrix/rnnoise_INT8__SSE-310__ethos-u65-512 /opt/arm/ml-embedded-evaluation-kit/resources_downloaded/noise_reduction/rnnoise_INT8.tflite,1000000000.0,29617,28849,368,35624,106.625,111098,3.5624e-05,0.6875,5934,95456,5.0.0
