cell,model,binding,macs,system_config,vela_sha256,instr_status,irq_count,instr_sha256,clean_axf_sha256,prof_axf_sha256,timing_adapter,clean_total,clean_active,clean_idle,prof_pl_records,prof_tail_total,output_crc,runs_exact_equal
rnnoise_INT8__256_Low,rnnoise_INT8,256_Low,256,Ethos_U85_SYS_DRAM_Low,8f342f545a9a9e1da4493fa2f73ff5779785fa5a0c7f6bfac2096153f1b2116e,OK,48,573505309b2d33b35978625ba9e8f59514598d8be901131e09895c7b64f7a8ef,7267321c151cb1b71a0f38c05f217d2901039d3f5d914aa4189c3266fee5ebd2,c2cda361b2bf96493ab412ce287a3878030476cee258617d35581797d00e7645,ETHOS_U_NPU_TIMING_ADAPTER_ENABLED:BOOL=ON,36086,35206,880,17,1040,0:96:0xA553FCA6;1:22:0x5EDEDB4F;2:48:0x4E712C63;3:24:0xA4FC1980;4:1:0x83DCEFB7,3/3
rnnoise_INT8__512_Mid512,rnnoise_INT8,512_Mid512,512,Ethos_U85_SYS_DRAM_Mid_512,12087f72b6dce2e03b1146f11dcd5e1c254f1ed6f737bc5df22c8ab0dbdf335c,OK,48,1d3ac214e7e40aa2519044bdf6c9dd981d33a37a3e502ae4fa657a78abdf9faf,c4e3ae52d5f267f91f3d3c4f87c592df723df7ed5296ecdc25abd548729670d3,160fe943cbe34ebc98b1441610f23473f056631a7c15c5c1666544bdf8bd76c2,ETHOS_U_NPU_TIMING_ADAPTER_ENABLED:BOOL=ON,55086,54330,756,20,1040,0:96:0xA553FCA6;1:22:0x5EDEDB4F;2:48:0x4E712C63;3:24:0xA4FC1980;4:1:0x83DCEFB7,3/3
rnnoise_INT8__512_Low,rnnoise_INT8,512_Low,512,Ethos_U85_SYS_DRAM_Low,12087f72b6dce2e03b1146f11dcd5e1c254f1ed6f737bc5df22c8ab0dbdf335c,OK,48,1d3ac214e7e40aa2519044bdf6c9dd981d33a37a3e502ae4fa657a78abdf9faf,c4e3ae52d5f267f91f3d3c4f87c592df723df7ed5296ecdc25abd548729670d3,160fe943cbe34ebc98b1441610f23473f056631a7c15c5c1666544bdf8bd76c2,ETHOS_U_NPU_TIMING_ADAPTER_ENABLED:BOOL=ON,55086,54330,756,20,1040,0:96:0xA553FCA6;1:22:0x5EDEDB4F;2:48:0x4E712C63;3:24:0xA4FC1980;4:1:0x83DCEFB7,3/3
vww4_128_128_INT8__256_Low,vww4_128_128_INT8,256_Low,256,Ethos_U85_SYS_DRAM_Low,869a0c6b8e7dd5339829bfd9430abfb9afe20401a17d31c437e2a193fd6afc8e,OK,91,57a793a5ed5a43912db2cfa59d4b455503789e983edb07bf0ada234adfb76446,3e8191d419591f17d8b9efa9cccb3af050a97681bd8630a15913f135b762fc77,0e6b1200bc5b3b3f85d0da4f0a5d0985710410ec600d4e34be5db9ee4b39ae22,ETHOS_U_NPU_TIMING_ADAPTER_ENABLED:BOOL=ON,287068,286067,1001,75,1040,0:2:0x823CFFFB,3/3
vww4_128_128_INT8__512_Mid512,vww4_128_128_INT8,512_Mid512,512,Ethos_U85_SYS_DRAM_Mid_512,e3c387fd064ce4f22d3f4a2ca4002fe15cb72ce892ca77c884d7913c29b00350,OK,90,9919169fa12cfac5c7808b60ba97bd9a7054d40a2cfa8960e0d86968520f6fdc,f4a92f232627a51d86ba2c1296b90c4e85e5d741ebe752f6ab77f68baf0f6860,f65cba5b04b49d58613799c43de1b1ee9ad0c1fd3b01c5aef88e99b9ced7c3b8,ETHOS_U_NPU_TIMING_ADAPTER_ENABLED:BOOL=ON,259068,258022,1046,75,1040,0:2:0x823CFFFB,3/3
vww4_128_128_INT8__512_Low,vww4_128_128_INT8,512_Low,512,Ethos_U85_SYS_DRAM_Low,aae31e5a76f512d34316b70e677de837048a443b414781ff074ec0e22b6e7413,OK,90,107b303687113aad3c16761f7abc63447e3544ada51628388105a0b8421a9794,7efcfa1bc12d66edb33ae955eeece28ef7f25b6eabc36a4dfd24b669a545087c,fadbb4863927a0f20c4a4a166d019999e07694e58456c65290d73ee2726c4476,ETHOS_U_NPU_TIMING_ADAPTER_ENABLED:BOOL=ON,259068,258022,1046,75,1040,0:2:0x823CFFFB,3/3
yolo-fastest_192_face_v4__256_Low,yolo-fastest_192_face_v4,256_Low,256,Ethos_U85_SYS_DRAM_Low,aec60a683ca0dfd54e791bf0fec34f999cf472bbf7a16c4f2e6adb09fddab53e,OK,138,d7b3cc7511d229c10edb1ead231af8bdf215f5be158442a4bb2462a6442c3fed,8eb1975b5e259a769ef2a1e40d10c6b3eafeb9d0f83e8a6effdcd254e45002a0,18b4589d2829db5f818bd045ef8f38b8e8b7351aabaa9e5bfd827fb7ab2cb577,ETHOS_U_NPU_TIMING_ADAPTER_ENABLED:BOOL=ON,812074,811264,810,94,1040,0:648:0x5B9BFCEC;1:2592:0x772F633F,3/3
yolo-fastest_192_face_v4__512_Mid512,yolo-fastest_192_face_v4,512_Mid512,512,Ethos_U85_SYS_DRAM_Mid_512,8b2f4e1e0fca98e2adcf3ab9db295127c87746cfd134f37eb5cbb1d8b47b847a,OK,128,21898cbdb2bb410d32f61372a1672c3f7273014270f911c482882af4e5fb1876,7e859b267c69ff7594b6fa7ac1b34b57716c3c29d298895c9ea7c79e15f2e965,f506799f0ded36459812e448ddbee80c229914e98c86b444ac45f4efb9625756,ETHOS_U_NPU_TIMING_ADAPTER_ENABLED:BOOL=ON,587074,586275,799,89,1040,0:648:0x5B9BFCEC;1:2592:0x772F633F,3/3
yolo-fastest_192_face_v4__512_Low,yolo-fastest_192_face_v4,512_Low,512,Ethos_U85_SYS_DRAM_Low,c5e208bb572d9da5c4ad3c6d6564b2d686eaf516e6cfba4d3880b60ee39dfa96,OK,138,751b7e77c5f6c8d508d4ad93d591fa150cf603b55e1d680a534004a025a8c941,ab6a9a21ffbf6c7cdb59862baf47e3dcd9fff7372646540a95009a0d56e33633,423cdc63b106988606e471101ec714fb922247da35c005dc1ef93bbe67e30742,ETHOS_U_NPU_TIMING_ADAPTER_ENABLED:BOOL=ON,566074,565051,1023,94,2040,0:648:0x5B9BFCEC;1:2592:0x772F633F,3/3
kws_micronet_m__256_Low,kws_micronet_m,256_Low,256,Ethos_U85_SYS_DRAM_Low,7d1431a8bc9cd5ec3735e9c1f8c91cd8d1e4496286147ee5a1adec1acd72ce92,OK,18,7d9612b98a7f30438f19cc8be209803d4ac845c7f844479f0ce1f6714ee1813d,b0aeda812235f88a71b5fcb850f512f65ffa756154e90ae7d50d5787e881cefa,26b6b946326e6e1158de7d6f19d89d4f167c6cce17107d1b43f055424a628e85,ETHOS_U_NPU_TIMING_ADAPTER_ENABLED:BOOL=ON,199068,198564,504,16,1040,0:12:0xCEE9B7FE,3/3
kws_micronet_m__512_Mid512,kws_micronet_m,512_Mid512,512,Ethos_U85_SYS_DRAM_Mid_512,af461b1ee988ee39f778a962366042bb0f63e1c1f2a5dd47b231800847bcd3a0,OK,15,60e6e612ca66c9c467c9a811f2709c3ac661bfd1eb09585702c6a48c7411fa00,18b86673688051c58e1f11ea98e119cb3f41e2a275ff0ead8c40497d0a4df807,232d2fe83afa49c1f8120b3f10e4a85e0748183b307098aee94798e106ae0c0e,ETHOS_U_NPU_TIMING_ADAPTER_ENABLED:BOOL=ON,114068,113986,82,14,1040,0:12:0xCEE9B7FE,3/3
kws_micronet_m__512_Low,kws_micronet_m,512_Low,512,Ethos_U85_SYS_DRAM_Low,e7819207461507ea6753bce6ce4902e18ff722de52c0ac1ff335cf5897fa9454,OK,20,288dd165dc8138dbffb2a546ed6020145d12481e6044a2af266d9b623396249e,f09eda8089204efa5b366954581d556651f2f5c6014a513d080b1a615c67c1f7,20de026cdd6913d9055df4a48d2ddc35c4beb46c32a5b47ab80486946d5e5e73,ETHOS_U_NPU_TIMING_ADAPTER_ENABLED:BOOL=ON,116068,115549,519,18,2040,0:12:0xCEE9B7FE,3/3
ad_medium_int8__256_Low,ad_medium_int8,256_Low,256,Ethos_U85_SYS_DRAM_Low,ceb93f0095600c90b42763683fabc07397f7a2d1386493caa625cecd7c86abaa,OK,17,2463b8f66f6e79cd0cc658387dfffed5148c43f0ec897e52fd947bba3d428393,d143ef32e93d7ee73424e69625f6a2a8cabf3c63be3600ba37d5b226c7228868,596d1f0febd51457252364eebd883f65f4e3f3e5f422e86b57702f863b0fe51b,ETHOS_U_NPU_TIMING_ADAPTER_ENABLED:BOOL=ON,377068,376021,1047,14,1040,0:8:0x5A91D6D3,3/3
ad_medium_int8__512_Mid512,ad_medium_int8,512_Mid512,512,Ethos_U85_SYS_DRAM_Mid_512,9fa6d6e7239b70d027301eea62d6123e88e67f800d93038a67af5cf789834a99,OK,17,0dfc115cf7717559bb7e981c1b6c8828b014fc62779544d0e5b1469dba708ef3,9c9f650898f25256295853ff07e07a3c13d1d31aa3b546c2db6715f7d68fe9bd,a6975adeda7690874f4bc46c76dfbe41dd0dfc116710418caa773b9a3573de58,ETHOS_U_NPU_TIMING_ADAPTER_ENABLED:BOOL=ON,235068,234552,516,15,1040,0:8:0x5A91D6D3,3/3
ad_medium_int8__512_Low,ad_medium_int8,512_Low,512,Ethos_U85_SYS_DRAM_Low,12d568820a72e9616ecbf08cc4c31df552cd76c40bdb5cd265b610cb621d882f,OK,16,ecd11ffbdbbd40d34f4272bad98aff9e77a04b103e24cf26a3720c3456cecb6d,9223d051d2c3330a649a87bd87df5a0921fc60a7d65da9d6e95326d67c649097,50a5992361a019bf41ea83132449de9765d041e4b5ea1b5948bf61b7d5d8f988,ETHOS_U_NPU_TIMING_ADAPTER_ENABLED:BOOL=ON,236068,235148,920,15,1040,0:8:0x5A91D6D3,3/3
dnn_s_quantized__256_Low,dnn_s_quantized,256_Low,256,Ethos_U85_SYS_DRAM_Low,421edf54f7cc21a688f102a71278b4d09fdb687f16668270aa0657fc209dcec1,NOT_AVAILABLE,,,bd6506fa12e52b461fca796124dcec6142fd445a668f7eec9f3c956533c58a24,,ETHOS_U_NPU_TIMING_ADAPTER_ENABLED:BOOL=ON,22068,21696,372,,,0:48:0x5974B086,3/3
dnn_s_quantized__512_Mid512,dnn_s_quantized,512_Mid512,512,Ethos_U85_SYS_DRAM_Mid_512,dbd1b15d979e17f46c227fe2d83781dd455173d0974bcc1d95b916e4fa708229,NOT_AVAILABLE,,,3a7ee99bf2f8453b8aaa043e586e5e17003fa8c1aaa3e7366082ddd3c24b634d,,ETHOS_U_NPU_TIMING_ADAPTER_ENABLED:BOOL=ON,29068,28653,415,,,0:48:0x5974B086,3/3
