workload,binding_pair,group_root,n_ops,member_source_ids,member_types,cycles_256,cycles_512,delta,direction
ad_medium_int8,B-frozen,7,1,7,Conv2D,81030,49030,-32000,IMPROVE
ad_medium_int8,B-frozen,5,1,5,Conv2D,80030,50030,-30000,IMPROVE
ad_medium_int8,B-frozen,1,1,1,Conv2D,57070,30070,-27000,IMPROVE
ad_medium_int8,B-frozen,3,1,3,Conv2D,54015,28030,-25985,IMPROVE
ad_medium_int8,B-frozen,-1,2,-1 4,DepthwiseConv2D KERNEL_WAIT,21015,10015,-11000,IMPROVE
ad_medium_int8,B-frozen,9,1,9,Conv2D,23015,12015,-11000,IMPROVE
ad_medium_int8,B-frozen,6,1,6,DepthwiseConv2D,21015,11015,-10000,IMPROVE
ad_medium_int8,B-frozen,10,1,10,DepthwiseConv2D,3015,8015,5000,REGRESS
ad_medium_int8,B-frozen,2,1,2,DepthwiseConv2D,14015,16015,2000,REGRESS
ad_medium_int8,B-frozen,11,2,11 12,AvgPool Conv2D,15015,14030,-985,IMPROVE
ad_medium_int8,B-frozen,8,1,8,DepthwiseConv2D,6015,6015,0,SAME
ad_medium_int8,B-frozen,13,1,13,Conv2D,1030,1030,0,SAME
ad_medium_int8,B-held,7,1,7,Conv2D,81030,48030,-33000,IMPROVE
ad_medium_int8,B-held,5,1,5,Conv2D,80030,50030,-30000,IMPROVE
ad_medium_int8,B-held,1,1,1,Conv2D,57070,30070,-27000,IMPROVE
ad_medium_int8,B-held,3,1,3,Conv2D,54015,29015,-25000,IMPROVE
ad_medium_int8,B-held,-1,2,-1 4,DepthwiseConv2D KERNEL_WAIT,21015,10015,-11000,IMPROVE
ad_medium_int8,B-held,9,1,9,Conv2D,23015,12015,-11000,IMPROVE
ad_medium_int8,B-held,6,1,6,DepthwiseConv2D,21015,11015,-10000,IMPROVE
ad_medium_int8,B-held,10,1,10,DepthwiseConv2D,3015,7015,4000,REGRESS
ad_medium_int8,B-held,2,1,2,DepthwiseConv2D,14015,16015,2000,REGRESS
ad_medium_int8,B-held,8,1,8,DepthwiseConv2D,6015,7015,1000,REGRESS
ad_medium_int8,B-held,11,2,11 12,AvgPool Conv2D,15015,14030,-985,IMPROVE
ad_medium_int8,B-held,13,1,13,Conv2D,1030,1030,0,SAME
kws_micronet_m,B-frozen,1,1,1,Conv2D,97070,50070,-47000,IMPROVE
kws_micronet_m,B-frozen,7,1,7,Conv2D,15030,8015,-7015,IMPROVE
kws_micronet_m,B-frozen,5,1,5,Conv2D,15030,9015,-6015,IMPROVE
kws_micronet_m,B-frozen,3,1,3,Conv2D,14015,8015,-6000,IMPROVE
kws_micronet_m,B-frozen,9,1,9,Conv2D,11015,7030,-3985,IMPROVE
kws_micronet_m,B-frozen,11,1,11,Conv2D,14030,11015,-3015,IMPROVE
kws_micronet_m,B-frozen,6,1,6,DepthwiseConv2D,6015,3015,-3000,IMPROVE
kws_micronet_m,B-frozen,-1,2,-1 10,DepthwiseConv2D KERNEL_WAIT,5015,3015,-2000,IMPROVE
kws_micronet_m,B-frozen,4,1,4,DepthwiseConv2D,6015,4015,-2000,IMPROVE
kws_micronet_m,B-frozen,8,1,8,DepthwiseConv2D,6015,4015,-2000,IMPROVE
kws_micronet_m,B-frozen,12,2,12 13,AvgPool Conv2D,3045,2030,-1015,IMPROVE
kws_micronet_m,B-frozen,2,1,2,DepthwiseConv2D,6015,5015,-1000,IMPROVE
kws_micronet_m,B-held,1,1,1,Conv2D,97070,50070,-47000,IMPROVE
kws_micronet_m,B-held,7,1,7,Conv2D,15030,8030,-7000,IMPROVE
kws_micronet_m,B-held,5,1,5,Conv2D,15030,10030,-5000,IMPROVE
kws_micronet_m,B-held,3,1,3,Conv2D,14015,10030,-3985,IMPROVE
kws_micronet_m,B-held,4,1,4,DepthwiseConv2D,6015,3015,-3000,IMPROVE
kws_micronet_m,B-held,8,1,8,DepthwiseConv2D,6015,3015,-3000,IMPROVE
kws_micronet_m,B-held,11,1,11,Conv2D,14030,11030,-3000,IMPROVE
kws_micronet_m,B-held,9,1,9,Conv2D,11015,8030,-2985,IMPROVE
kws_micronet_m,B-held,6,1,6,DepthwiseConv2D,6015,4015,-2000,IMPROVE
kws_micronet_m,B-held,-1,2,-1 10,DepthwiseConv2D KERNEL_WAIT,5015,3015,-2000,IMPROVE
kws_micronet_m,B-held,2,1,2,DepthwiseConv2D,6015,5015,-1000,IMPROVE
kws_micronet_m,B-held,13,1,13,Conv2D,1030,1030,0,SAME
kws_micronet_m,B-held,12,1,12,AvgPool,2015,2015,0,SAME
rnnoise_INT8,B-frozen,51,5,51 52 58 59 60,Add Mul Pack Sub,3015,7045,4030,REGRESS
rnnoise_INT8,B-frozen,8,5,8 14 17 19 20,Add FullyConnected Mul,1015,4030,3015,REGRESS
rnnoise_INT8,B-frozen,49,5,47 49 53 55 56,Add FullyConnected Mul,7030,10030,3000,REGRESS
rnnoise_INT8,B-frozen,30,5,30 32 36 38 39,Add FullyConnected Mul,4015,6030,2015,REGRESS
rnnoise_INT8,B-frozen,43,4,1 43 44 45,Concat FullyConnected Quantize,8030,10030,2000,REGRESS
rnnoise_INT8,B-frozen,3,2,3 12,FullyConnected Reshape,2073,4073,2000,REGRESS
rnnoise_INT8,B-frozen,16,4,16 22 23 24,Add Mul Sub,1015,2015,1000,REGRESS
rnnoise_INT8,B-frozen,10,4,10 26 27 28,Concat FullyConnected Quantize,2015,3015,1000,REGRESS
rnnoise_INT8,B-frozen,66,1,66,FullyConnected,1015,2015,1000,REGRESS
rnnoise_INT8,B-frozen,4,1,4,FullyConnected,2015,1015,-1000,IMPROVE
rnnoise_INT8,B-frozen,35,2,35 40,Mul Sub,1015,2015,1000,REGRESS
rnnoise_INT8,B-frozen,25,2,25 65,Pack Reshape,1015,1015,0,SAME
rnnoise_INT8,B-frozen,34,3,34 41 42,Add Mul Pack,1015,1015,0,SAME
rnnoise_INT8,B-frozen,62,1,62,FullyConnected,1030,1030,0,SAME
rnnoise_INT8,B-held,51,5,51 52 58 59 60,Add Mul Pack Sub,3015,7045,4030,REGRESS
rnnoise_INT8,B-held,8,5,8 14 17 19 20,Add FullyConnected Mul,1015,4030,3015,REGRESS
rnnoise_INT8,B-held,49,5,47 49 53 55 56,Add FullyConnected Mul,7030,10030,3000,REGRESS
rnnoise_INT8,B-held,30,5,30 32 36 38 39,Add FullyConnected Mul,4015,6030,2015,REGRESS
rnnoise_INT8,B-held,43,4,1 43 44 45,Concat FullyConnected Quantize,8030,10030,2000,REGRESS
rnnoise_INT8,B-held,3,2,3 12,FullyConnected Reshape,2073,4073,2000,REGRESS
rnnoise_INT8,B-held,16,4,16 22 23 24,Add Mul Sub,1015,2015,1000,REGRESS
rnnoise_INT8,B-held,10,4,10 26 27 28,Concat FullyConnected Quantize,2015,3015,1000,REGRESS
rnnoise_INT8,B-held,66,1,66,FullyConnected,1015,2015,1000,REGRESS
rnnoise_INT8,B-held,4,1,4,FullyConnected,2015,1015,-1000,IMPROVE
rnnoise_INT8,B-held,35,2,35 40,Mul Sub,1015,2015,1000,REGRESS
rnnoise_INT8,B-held,25,2,25 65,Pack Reshape,1015,1015,0,SAME
rnnoise_INT8,B-held,34,3,34 41 42,Add Mul Pack,1015,1015,0,SAME
rnnoise_INT8,B-held,62,1,62,FullyConnected,1030,1030,0,SAME
vww4_128_128_INT8,B-frozen,3,1,3,DepthwiseConv2D,23030,11030,-12000,IMPROVE
vww4_128_128_INT8,B-frozen,26,1,26,Conv2D,11030,6030,-5000,IMPROVE
vww4_128_128_INT8,B-frozen,21,1,21,Conv2D,8030,4030,-4000,IMPROVE
vww4_128_128_INT8,B-frozen,-1,7,-1 2 6 8 13 15 27,Conv2D DepthwiseConv2D KERNEL_WAIT,29105,25105,-4000,IMPROVE
vww4_128_128_INT8,B-frozen,35,1,35,DepthwiseConv2D,4015,8015,4000,REGRESS
vww4_128_128_INT8,B-frozen,17,1,17,DepthwiseConv2D,6015,3015,-3000,IMPROVE
vww4_128_128_INT8,B-frozen,57,1,57,DepthwiseConv2D,3015,6015,3000,REGRESS
vww4_128_128_INT8,B-frozen,29,1,29,Conv2D,5015,8015,3000,REGRESS
vww4_128_128_INT8,B-frozen,41,1,41,Conv2D,4015,1015,-3000,IMPROVE
vww4_128_128_INT8,B-frozen,22,1,22,DepthwiseConv2D,7015,4015,-3000,IMPROVE
vww4_128_128_INT8,B-frozen,36,1,36,Conv2D,4015,1015,-3000,IMPROVE
vww4_128_128_INT8,B-frozen,53,3,53 54 55,Add Conv2D Pad,6060,4030,-2030,IMPROVE
vww4_128_128_INT8,B-frozen,16,1,16,Conv2D,7015,5015,-2000,IMPROVE
vww4_128_128_INT8,B-frozen,11,1,11,Pad,6030,8030,2000,REGRESS
vww4_128_128_INT8,B-frozen,31,1,31,Conv2D,3015,1015,-2000,IMPROVE
vww4_128_128_INT8,B-frozen,64,1,64,DepthwiseConv2D,1015,3015,2000,REGRESS
vww4_128_128_INT8,B-frozen,9,1,9,DepthwiseConv2D,4015,2015,-2000,IMPROVE
vww4_128_128_INT8,B-frozen,71,3,71 72 73,AvgPool Conv2D,3045,5045,2000,REGRESS
vww4_128_128_INT8,B-frozen,59,1,59,Conv2D,1015,3015,2000,REGRESS
vww4_128_128_INT8,B-frozen,4,1,4,Conv2D,5015,7015,2000,REGRESS
vww4_128_128_INT8,B-frozen,39,1,39,Conv2D,6015,8015,2000,REGRESS
vww4_128_128_INT8,B-frozen,46,1,46,Conv2D,4015,2015,-2000,IMPROVE
vww4_128_128_INT8,B-frozen,12,1,12,Add,4015,2015,-2000,IMPROVE
vww4_128_128_INT8,B-frozen,7,1,7,Conv2D,4015,2015,-2000,IMPROVE
vww4_128_128_INT8,B-frozen,10,1,10,Conv2D,5015,3015,-2000,IMPROVE
vww4_128_128_INT8,B-frozen,5,1,5,Conv2D,8015,6015,-2000,IMPROVE
vww4_128_128_INT8,B-frozen,32,1,32,Pad,1015,2030,1015,REGRESS
vww4_128_128_INT8,B-frozen,18,1,18,Conv2D,4015,3015,-1000,IMPROVE
vww4_128_128_INT8,B-frozen,28,1,28,Conv2D,2015,1015,-1000,IMPROVE
vww4_128_128_INT8,B-frozen,60,1,60,DepthwiseConv2D,2015,3015,1000,REGRESS
vww4_128_128_INT8,B-frozen,19,1,19,Pad,3030,2030,-1000,IMPROVE
