workload,group_root,n_ops,member_source_ids,member_types,SO_256,SO_512,SO_delta,SO_dir,SH_256,SH_512,SH_delta,SH_dir,DS_256,DS_512,DS_delta,DS_dir
rnnoise_INT8,51,11,47 49 51 52 53 55 56 58 59 60 62,Add FullyConnected Mul Pack Sub,3045,4045,1000,REGRESS,9060,13075,4015,REGRESS,11075,18105,7030,REGRESS
rnnoise_INT8,3,15,3 4 8 12 14 16 17 19 20 22 23 24 25 65 66,Add FullyConnected Mul Pack Reshape Sub,2088,3103,1015,REGRESS,6118,11148,5030,REGRESS,8148,14163,6015,REGRESS
rnnoise_INT8,30,10,30 32 34 35 36 38 39 40 41 42,Add FullyConnected Mul Pack Sub,2030,2030,0,SAME,5030,6045,1015,REGRESS,6045,9060,3015,REGRESS
rnnoise_INT8,1,4,1 43 44 45,Concat FullyConnected Quantize,1015,2015,1000,REGRESS,7015,10015,3000,REGRESS,8030,10030,2000,REGRESS
rnnoise_INT8,10,4,10 26 27 28,Concat FullyConnected Quantize,1015,1015,0,SAME,3015,5030,2015,REGRESS,2015,3015,1000,REGRESS
rnnoise_INT8,2,1,2,SplitV,0,0,0,SAME,0,0,0,SAME,0,0,0,SAME
rnnoise_INT8,5,1,5,Tanh,0,0,0,SAME,0,0,0,SAME,0,0,0,SAME
rnnoise_INT8,6,1,6,Reshape,0,0,0,SAME,0,0,0,SAME,0,0,0,SAME
rnnoise_INT8,7,1,7,Unpack,0,0,0,SAME,0,0,0,SAME,0,0,0,SAME
rnnoise_INT8,9,1,9,Split,0,0,0,SAME,0,0,0,SAME,0,0,0,SAME
rnnoise_INT8,11,1,11,SplitV,0,0,0,SAME,0,0,0,SAME,0,0,0,SAME
rnnoise_INT8,13,1,13,SplitV,0,0,0,SAME,0,0,0,SAME,0,0,0,SAME
rnnoise_INT8,15,1,15,Sigmoid,0,0,0,SAME,0,0,0,SAME,0,0,0,SAME
rnnoise_INT8,18,1,18,Sigmoid,0,0,0,SAME,0,0,0,SAME,0,0,0,SAME
rnnoise_INT8,21,1,21,Tanh,0,0,0,SAME,0,0,0,SAME,0,0,0,SAME
rnnoise_INT8,29,1,29,Unpack,0,0,0,SAME,0,0,0,SAME,0,0,0,SAME
rnnoise_INT8,31,1,31,Split,0,0,0,SAME,0,0,0,SAME,0,0,0,SAME
rnnoise_INT8,33,1,33,Sigmoid,0,0,0,SAME,0,0,0,SAME,0,0,0,SAME
rnnoise_INT8,37,1,37,Sigmoid,0,0,0,SAME,0,0,0,SAME,0,0,0,SAME
rnnoise_INT8,46,1,46,Unpack,0,0,0,SAME,0,0,0,SAME,0,0,0,SAME
rnnoise_INT8,48,1,48,Split,0,0,0,SAME,0,0,0,SAME,0,0,0,SAME
rnnoise_INT8,50,1,50,Sigmoid,0,0,0,SAME,0,0,0,SAME,0,0,0,SAME
rnnoise_INT8,54,1,54,Sigmoid,0,0,0,SAME,0,0,0,SAME,0,0,0,SAME
rnnoise_INT8,57,1,57,Tanh,0,0,0,SAME,0,0,0,SAME,0,0,0,SAME
rnnoise_INT8,61,1,61,Reshape,0,0,0,SAME,0,0,0,SAME,0,0,0,SAME
rnnoise_INT8,63,1,63,Reshape,0,0,0,SAME,0,0,0,SAME,0,0,0,SAME
rnnoise_INT8,64,1,64,Sigmoid,0,0,0,SAME,0,0,0,SAME,0,0,0,SAME
rnnoise_INT8,67,1,67,Reshape,0,0,0,SAME,0,0,0,SAME,0,0,0,SAME
rnnoise_INT8,68,1,68,Sigmoid,0,0,0,SAME,0,0,0,SAME,0,0,0,SAME
vww4_128_128_INT8,3,1,3,DepthwiseConv2D,23030,12030,-11000,IMPROVE,23030,12030,-11000,IMPROVE,23030,11030,-12000,IMPROVE
vww4_128_128_INT8,38,33,2 6 8 13 15 16 27 28 29 33 34 35 38 39 44 46 47 49 50 51 56 57 58 61 62 63 64 65 66 67 68 69 70,Add Conv2D DepthwiseConv2D Pad,94390,59390,-35000,IMPROVE,114900,112780,-2120,IMPROVE,105450,112465,7015,REGRESS
vww4_128_128_INT8,26,1,26,Conv2D,11015,6015,-5000,IMPROVE,11030,6030,-5000,IMPROVE,11030,6030,-5000,IMPROVE
vww4_128_128_INT8,21,1,21,Conv2D,8015,3015,-5000,IMPROVE,7030,4030,-3000,IMPROVE,8030,4030,-4000,IMPROVE
vww4_128_128_INT8,17,1,17,DepthwiseConv2D,7015,3015,-4000,IMPROVE,6015,4015,-2000,IMPROVE,6015,3015,-3000,IMPROVE
