symbolic_name,numeric_event_id,authority_file,authority_line,generation_applicability,stock_profiler_exposed,custom_config_required,semantics_status,availability_classification
ETHOSU_PMU_NO_EVENT,0,dependencies/core-driver/include/pmu_ethosu.h,146,ETHOSU85,no,n/a,N/A,NOT_AVAILABLE
ETHOSU_PMU_CYCLE,1,dependencies/core-driver/include/pmu_ethosu.h,147,ETHOSU85,"yes (via dedicated CCNT, not an event counter)",no,EMITTED_IN_FROZEN_EVIDENCE,VERIFIED_AVAILABLE
ETHOSU_PMU_NPU_IDLE,2,dependencies/core-driver/include/pmu_ethosu.h,148,ETHOSU85,no,yes (profiler event slot reconfiguration),"SYMBOLIC_ONLY (header caveat: values symbolic, use API)",AVAILABLE_BUT_REQUIRES_PATCH
ETHOSU_PMU_CC_STALLED_ON_BLOCKDEP,3,dependencies/core-driver/include/pmu_ethosu.h,149,ETHOSU85,no,yes (profiler event slot reconfiguration),"SYMBOLIC_ONLY (header caveat: values symbolic, use API)",AVAILABLE_BUT_REQUIRES_PATCH
ETHOSU_PMU_NPU_ACTIVE,4,dependencies/core-driver/include/pmu_ethosu.h,150,ETHOSU85,yes,no,EMITTED_IN_FROZEN_EVIDENCE,VERIFIED_AVAILABLE
ETHOSU_PMU_MAC_ACTIVE,5,dependencies/core-driver/include/pmu_ethosu.h,151,ETHOSU85,no,yes (profiler event slot reconfiguration),"SYMBOLIC_ONLY (header caveat: values symbolic, use API)",AVAILABLE_BUT_REQUIRES_PATCH
ETHOSU_PMU_MAC_DPU_ACTIVE,6,dependencies/core-driver/include/pmu_ethosu.h,152,ETHOSU85,no,yes (profiler event slot reconfiguration),"SYMBOLIC_ONLY (header caveat: values symbolic, use API)",AVAILABLE_BUT_REQUIRES_PATCH
ETHOSU_PMU_MAC_STALLED_BY_W_OR_ACC,7,dependencies/core-driver/include/pmu_ethosu.h,153,ETHOSU85,no,yes (profiler event slot reconfiguration),"SYMBOLIC_ONLY (header caveat: values symbolic, use API)",AVAILABLE_BUT_REQUIRES_PATCH
ETHOSU_PMU_MAC_STALLED_BY_W,8,dependencies/core-driver/include/pmu_ethosu.h,154,ETHOSU85,no,yes (profiler event slot reconfiguration),"SYMBOLIC_ONLY (header caveat: values symbolic, use API)",AVAILABLE_BUT_REQUIRES_PATCH
ETHOSU_PMU_MAC_STALLED_BY_ACC,9,dependencies/core-driver/include/pmu_ethosu.h,155,ETHOSU85,no,yes (profiler event slot reconfiguration),"SYMBOLIC_ONLY (header caveat: values symbolic, use API)",AVAILABLE_BUT_REQUIRES_PATCH
ETHOSU_PMU_MAC_STALLED_BY_IB,10,dependencies/core-driver/include/pmu_ethosu.h,156,ETHOSU85,no,yes (profiler event slot reconfiguration),"SYMBOLIC_ONLY (header caveat: values symbolic, use API)",AVAILABLE_BUT_REQUIRES_PATCH
ETHOSU_PMU_AO_ACTIVE,11,dependencies/core-driver/include/pmu_ethosu.h,157,ETHOSU85,no,yes (profiler event slot reconfiguration),"SYMBOLIC_ONLY (header caveat: values symbolic, use API)",AVAILABLE_BUT_REQUIRES_PATCH
ETHOSU_PMU_AO_STALLED_BY_BS_OR_OB,12,dependencies/core-driver/include/pmu_ethosu.h,158,ETHOSU85,no,yes (profiler event slot reconfiguration),"SYMBOLIC_ONLY (header caveat: values symbolic, use API)",AVAILABLE_BUT_REQUIRES_PATCH
ETHOSU_PMU_AO_STALLED_BY_BS,13,dependencies/core-driver/include/pmu_ethosu.h,159,ETHOSU85,no,yes (profiler event slot reconfiguration),"SYMBOLIC_ONLY (header caveat: values symbolic, use API)",AVAILABLE_BUT_REQUIRES_PATCH
ETHOSU_PMU_AO_STALLED_BY_OB,14,dependencies/core-driver/include/pmu_ethosu.h,160,ETHOSU85,no,yes (profiler event slot reconfiguration),"SYMBOLIC_ONLY (header caveat: values symbolic, use API)",AVAILABLE_BUT_REQUIRES_PATCH
ETHOSU_PMU_AO_STALLED_BY_AB_OR_CB,15,dependencies/core-driver/include/pmu_ethosu.h,161,ETHOSU85,no,yes (profiler event slot reconfiguration),"SYMBOLIC_ONLY (header caveat: values symbolic, use API)",AVAILABLE_BUT_REQUIRES_PATCH
ETHOSU_PMU_AO_STALLED_BY_AB,16,dependencies/core-driver/include/pmu_ethosu.h,162,ETHOSU85,no,yes (profiler event slot reconfiguration),"SYMBOLIC_ONLY (header caveat: values symbolic, use API)",AVAILABLE_BUT_REQUIRES_PATCH
ETHOSU_PMU_AO_STALLED_BY_CB,17,dependencies/core-driver/include/pmu_ethosu.h,163,ETHOSU85,no,yes (profiler event slot reconfiguration),"SYMBOLIC_ONLY (header caveat: values symbolic, use API)",AVAILABLE_BUT_REQUIRES_PATCH
ETHOSU_PMU_WD_ACTIVE,18,dependencies/core-driver/include/pmu_ethosu.h,164,ETHOSU85,no,yes (profiler event slot reconfiguration),"SYMBOLIC_ONLY (header caveat: values symbolic, use API)",AVAILABLE_BUT_REQUIRES_PATCH
ETHOSU_PMU_WD_STALLED,19,dependencies/core-driver/include/pmu_ethosu.h,165,ETHOSU85,no,yes (profiler event slot reconfiguration),"SYMBOLIC_ONLY (header caveat: values symbolic, use API)",AVAILABLE_BUT_REQUIRES_PATCH
ETHOSU_PMU_WD_STALLED_BY_WD_BUF,20,dependencies/core-driver/include/pmu_ethosu.h,166,ETHOSU85,no,yes (profiler event slot reconfiguration),"SYMBOLIC_ONLY (header caveat: values symbolic, use API)",AVAILABLE_BUT_REQUIRES_PATCH
ETHOSU_PMU_WD_STALLED_BY_WS_FC,21,dependencies/core-driver/include/pmu_ethosu.h,167,ETHOSU85,no,yes (profiler event slot reconfiguration),"SYMBOLIC_ONLY (header caveat: values symbolic, use API)",AVAILABLE_BUT_REQUIRES_PATCH
ETHOSU_PMU_WD_STALLED_BY_WS_TC,22,dependencies/core-driver/include/pmu_ethosu.h,168,ETHOSU85,no,yes (profiler event slot reconfiguration),"SYMBOLIC_ONLY (header caveat: values symbolic, use API)",AVAILABLE_BUT_REQUIRES_PATCH
ETHOSU_PMU_WD_TRANS_WBLK,23,dependencies/core-driver/include/pmu_ethosu.h,169,ETHOSU85,no,yes (profiler event slot reconfiguration),"SYMBOLIC_ONLY (header caveat: values symbolic, use API)",AVAILABLE_BUT_REQUIRES_PATCH
ETHOSU_PMU_WD_TRANS_WS_FC,24,dependencies/core-driver/include/pmu_ethosu.h,170,ETHOSU85,no,yes (profiler event slot reconfiguration),"SYMBOLIC_ONLY (header caveat: values symbolic, use API)",AVAILABLE_BUT_REQUIRES_PATCH
ETHOSU_PMU_WD_TRANS_WS_TC,25,dependencies/core-driver/include/pmu_ethosu.h,171,ETHOSU85,no,yes (profiler event slot reconfiguration),"SYMBOLIC_ONLY (header caveat: values symbolic, use API)",AVAILABLE_BUT_REQUIRES_PATCH
ETHOSU_PMU_WD_STALLED_BY_WS_SC0,26,dependencies/core-driver/include/pmu_ethosu.h,172,ETHOSU85,no,yes (profiler event slot reconfiguration),"SYMBOLIC_ONLY (header caveat: values symbolic, use API)",AVAILABLE_BUT_REQUIRES_PATCH
ETHOSU_PMU_WD_STALLED_BY_WS_SC1,27,dependencies/core-driver/include/pmu_ethosu.h,173,ETHOSU85,no,yes (profiler event slot reconfiguration),"SYMBOLIC_ONLY (header caveat: values symbolic, use API)",AVAILABLE_BUT_REQUIRES_PATCH
ETHOSU_PMU_WD_STALLED_BY_WS_SC2,28,dependencies/core-driver/include/pmu_ethosu.h,174,ETHOSU85,no,yes (profiler event slot reconfiguration),"SYMBOLIC_ONLY (header caveat: values symbolic, use API)",AVAILABLE_BUT_REQUIRES_PATCH
ETHOSU_PMU_WD_STALLED_BY_WS_SC3,29,dependencies/core-driver/include/pmu_ethosu.h,175,ETHOSU85,no,yes (profiler event slot reconfiguration),"SYMBOLIC_ONLY (header caveat: values symbolic, use API)",AVAILABLE_BUT_REQUIRES_PATCH
ETHOSU_PMU_WD_PARSE_ACTIVE_SC0,30,dependencies/core-driver/include/pmu_ethosu.h,176,ETHOSU85,no,yes (profiler event slot reconfiguration),"SYMBOLIC_ONLY (header caveat: values symbolic, use API)",AVAILABLE_BUT_REQUIRES_PATCH
ETHOSU_PMU_WD_PARSE_ACTIVE_SC1,31,dependencies/core-driver/include/pmu_ethosu.h,177,ETHOSU85,no,yes (profiler event slot reconfiguration),"SYMBOLIC_ONLY (header caveat: values symbolic, use API)",AVAILABLE_BUT_REQUIRES_PATCH
ETHOSU_PMU_WD_PARSE_ACTIVE_SC2,32,dependencies/core-driver/include/pmu_ethosu.h,178,ETHOSU85,no,yes (profiler event slot reconfiguration),"SYMBOLIC_ONLY (header caveat: values symbolic, use API)",AVAILABLE_BUT_REQUIRES_PATCH
ETHOSU_PMU_WD_PARSE_ACTIVE_SC3,33,dependencies/core-driver/include/pmu_ethosu.h,179,ETHOSU85,no,yes (profiler event slot reconfiguration),"SYMBOLIC_ONLY (header caveat: values symbolic, use API)",AVAILABLE_BUT_REQUIRES_PATCH
ETHOSU_PMU_WD_PARSE_STALL_SC0,34,dependencies/core-driver/include/pmu_ethosu.h,180,ETHOSU85,no,yes (profiler event slot reconfiguration),"SYMBOLIC_ONLY (header caveat: values symbolic, use API)",AVAILABLE_BUT_REQUIRES_PATCH
ETHOSU_PMU_WD_PARSE_STALL_SC1,35,dependencies/core-driver/include/pmu_ethosu.h,181,ETHOSU85,no,yes (profiler event slot reconfiguration),"SYMBOLIC_ONLY (header caveat: values symbolic, use API)",AVAILABLE_BUT_REQUIRES_PATCH
ETHOSU_PMU_WD_PARSE_STALL_SC2,36,dependencies/core-driver/include/pmu_ethosu.h,182,ETHOSU85,no,yes (profiler event slot reconfiguration),"SYMBOLIC_ONLY (header caveat: values symbolic, use API)",AVAILABLE_BUT_REQUIRES_PATCH
ETHOSU_PMU_WD_PARSE_STALL_SC3,37,dependencies/core-driver/include/pmu_ethosu.h,183,ETHOSU85,no,yes (profiler event slot reconfiguration),"SYMBOLIC_ONLY (header caveat: values symbolic, use API)",AVAILABLE_BUT_REQUIRES_PATCH
ETHOSU_PMU_WD_PARSE_STALL_IN_SC0,38,dependencies/core-driver/include/pmu_ethosu.h,184,ETHOSU85,no,yes (profiler event slot reconfiguration),"SYMBOLIC_ONLY (header caveat: values symbolic, use API)",AVAILABLE_BUT_REQUIRES_PATCH
ETHOSU_PMU_WD_PARSE_STALL_IN_SC1,39,dependencies/core-driver/include/pmu_ethosu.h,185,ETHOSU85,no,yes (profiler event slot reconfiguration),"SYMBOLIC_ONLY (header caveat: values symbolic, use API)",AVAILABLE_BUT_REQUIRES_PATCH
ETHOSU_PMU_WD_PARSE_STALL_IN_SC2,40,dependencies/core-driver/include/pmu_ethosu.h,186,ETHOSU85,no,yes (profiler event slot reconfiguration),"SYMBOLIC_ONLY (header caveat: values symbolic, use API)",AVAILABLE_BUT_REQUIRES_PATCH
ETHOSU_PMU_WD_PARSE_STALL_IN_SC3,41,dependencies/core-driver/include/pmu_ethosu.h,187,ETHOSU85,no,yes (profiler event slot reconfiguration),"SYMBOLIC_ONLY (header caveat: values symbolic, use API)",AVAILABLE_BUT_REQUIRES_PATCH
ETHOSU_PMU_WD_PARSE_STALL_OUT_SC0,42,dependencies/core-driver/include/pmu_ethosu.h,188,ETHOSU85,no,yes (profiler event slot reconfiguration),"SYMBOLIC_ONLY (header caveat: values symbolic, use API)",AVAILABLE_BUT_REQUIRES_PATCH
ETHOSU_PMU_WD_PARSE_STALL_OUT_SC1,43,dependencies/core-driver/include/pmu_ethosu.h,189,ETHOSU85,no,yes (profiler event slot reconfiguration),"SYMBOLIC_ONLY (header caveat: values symbolic, use API)",AVAILABLE_BUT_REQUIRES_PATCH
ETHOSU_PMU_WD_PARSE_STALL_OUT_SC2,44,dependencies/core-driver/include/pmu_ethosu.h,190,ETHOSU85,no,yes (profiler event slot reconfiguration),"SYMBOLIC_ONLY (header caveat: values symbolic, use API)",AVAILABLE_BUT_REQUIRES_PATCH
ETHOSU_PMU_WD_PARSE_STALL_OUT_SC3,45,dependencies/core-driver/include/pmu_ethosu.h,191,ETHOSU85,no,yes (profiler event slot reconfiguration),"SYMBOLIC_ONLY (header caveat: values symbolic, use API)",AVAILABLE_BUT_REQUIRES_PATCH
ETHOSU_PMU_WD_TRANS_WS_SC0,46,dependencies/core-driver/include/pmu_ethosu.h,192,ETHOSU85,no,yes (profiler event slot reconfiguration),"SYMBOLIC_ONLY (header caveat: values symbolic, use API)",AVAILABLE_BUT_REQUIRES_PATCH
ETHOSU_PMU_WD_TRANS_WS_SC1,47,dependencies/core-driver/include/pmu_ethosu.h,193,ETHOSU85,no,yes (profiler event slot reconfiguration),"SYMBOLIC_ONLY (header caveat: values symbolic, use API)",AVAILABLE_BUT_REQUIRES_PATCH
ETHOSU_PMU_WD_TRANS_WS_SC2,48,dependencies/core-driver/include/pmu_ethosu.h,194,ETHOSU85,no,yes (profiler event slot reconfiguration),"SYMBOLIC_ONLY (header caveat: values symbolic, use API)",AVAILABLE_BUT_REQUIRES_PATCH
ETHOSU_PMU_WD_TRANS_WS_SC3,49,dependencies/core-driver/include/pmu_ethosu.h,195,ETHOSU85,no,yes (profiler event slot reconfiguration),"SYMBOLIC_ONLY (header caveat: values symbolic, use API)",AVAILABLE_BUT_REQUIRES_PATCH
ETHOSU_PMU_WD_TRANS_WB0,50,dependencies/core-driver/include/pmu_ethosu.h,196,ETHOSU85,no,yes (profiler event slot reconfiguration),"SYMBOLIC_ONLY (header caveat: values symbolic, use API)",AVAILABLE_BUT_REQUIRES_PATCH
