Original Operator,NNG Operator,Target,Staging Usage,Peak% (Staging),Op Cycles,Network% (cycles),NPU,SRAM AC,DRAM AC,OnFlash AC,OffFlash AC,MAC Count,Network% (MAC),Util% (MAC),Name
FullyConnected,FullyConnected,NPU,80,11.363636363636363,1969,5.884990136888039,1969,4,1953,0,0,1728,1.9746314706890642,0.17140680548501777,MatMul_1;model_1/vad_gru/gru_cell_3/StatefulPartitionedCall/MatMul_1;BiasAdd_1;model_1/vad_gru/gru_cell_3/StatefulPartitionedCall/BiasAdd_1
Reshape,MemoryCopy,NPU,128,18.181818181818183,292,0.8727359674816187,292,1,34,0,0,42,0.04799451491258142,0.028092893835616438,main_input_int8_copy
FullyConnected,FullyConnected,NPU,160,22.727272727272727,781,2.3342698308326857,626,4,781,0,0,1008,1.151868357901954,0.25208066581306016,Tanh;model_1/fc1/StatefulPartitionedCall/Tanh;BiasAdd;model_1/fc1/StatefulPartitionedCall/BiasAdd;Tensordot/shape;model_1/fc1/StatefulPartitionedCall/Tensordot/shape;Tensordot;model_1/fc1/StatefulPartitionedCall/Tensordot;model_1/fc1/1869
Tanh,LUT,NPU,0,0.0,0,0.0,0,0,0,0,0,0,0.0,100,Tanh;model_1/fc1/StatefulPartitionedCall/Tanh;BiasAdd;model_1/fc1/StatefulPartitionedCall/BiasAdd;Tensordot/shape;model_1/fc1/StatefulPartitionedCall/Tensordot/shape;Tensordot;model_1/fc1/StatefulPartitionedCall/Tensordot;model_1/fc1/1869
FullyConnected,FullyConnected,NPU,240,34.09090909090909,1953,5.837168987984937,1847,6,1953,0,0,1728,1.9746314706890642,0.1728110599078341,MatMul;model_1/vad_gru/gru_cell_3/StatefulPartitionedCall/MatMul;BiasAdd;model_1/vad_gru/gru_cell_3/StatefulPartitionedCall/BiasAdd
Add,Add,NPU,272,38.63636363636363,8,0.0239105744515512,8,4,0,0,0,0,0.0,0.0,Sigmoid_1;model_1/vad_gru/gru_cell_3/StatefulPartitionedCall/Sigmoid_1
Sigmoid,LUT,NPU,0,0.0,0,0.0,0,0,0,0,0,0,0.0,100,Sigmoid_1;model_1/vad_gru/gru_cell_3/StatefulPartitionedCall/Sigmoid_1
Mul,Mul,NPU,0,0.0,0,0.0,0,0,0,0,0,0,0.0,100,mul;model_1/vad_gru/gru_cell_3/StatefulPartitionedCall/mul
Add,Add,NPU,272,38.63636363636363,4,0.0119552872257756,4,3,0,0,0,0,0.0,0.0,Tanh;model_1/vad_gru/gru_cell_3/StatefulPartitionedCall/Tanh
Tanh,LUT,NPU,0,0.0,0,0.0,0,0,0,0,0,0,0.0,100,Tanh;model_1/vad_gru/gru_cell_3/StatefulPartitionedCall/Tanh
Add,Add,NPU,272,38.63636363636363,8,0.0239105744515512,4,3,8,0,0,0,0.0,0.0,Sigmoid;model_1/vad_gru/gru_cell_3/StatefulPartitionedCall/Sigmoid
Sigmoid,LUT,NPU,0,0.0,0,0.0,0,0,0,0,0,0,0.0,100,Sigmoid;model_1/vad_gru/gru_cell_3/StatefulPartitionedCall/Sigmoid
Sub,Sub,NPU,112,15.909090909090908,8,0.0239105744515512,8,1,7,0,0,0,0.0,0.0,sub;model_1/vad_gru/gru_cell_3/StatefulPartitionedCall/sub
Mul,Mul,NPU,0,0.0,0,0.0,0,0,0,0,0,0,0.0,100,mul_2;model_1/vad_gru/gru_cell_3/StatefulPartitionedCall/mul_2
