Original Operator,NNG Operator,Target,Staging Usage,Peak% (Staging),Op Cycles,Network% (cycles),NPU,SRAM AC,DRAM AC,OnFlash AC,OffFlash AC,MAC Count,Network% (MAC),Util% (MAC),Name
FullyConnected,FullyConnected,NPU,80,11.363636363636363,1962,5.185537583254043,1962,9,1953,0,0,1728,1.9746314706890642,0.3440366972477064,MatMul_1;model_1/vad_gru/gru_cell_3/StatefulPartitionedCall/MatMul_1;BiasAdd_1;model_1/vad_gru/gru_cell_3/StatefulPartitionedCall/BiasAdd_1
Reshape,MemoryCopy,NPU,128,18.181818181818183,295,0.7796807273496141,295,3,34,0,0,42,0.04799451491258142,0.055614406779661014,main_input_int8_copy
FullyConnected,FullyConnected,NPU,160,22.727272727272727,781,2.064171688339148,618,2,781,0,0,1008,1.151868357901954,0.5041613316261203,Tanh;model_1/fc1/StatefulPartitionedCall/Tanh;BiasAdd;model_1/fc1/StatefulPartitionedCall/BiasAdd;Tensordot/shape;model_1/fc1/StatefulPartitionedCall/Tensordot/shape;Tensordot;model_1/fc1/StatefulPartitionedCall/Tensordot;model_1/fc1/1869
Tanh,LUT,NPU,0,0.0,0,0.0,0,0,0,0,0,0,0.0,100,Tanh;model_1/fc1/StatefulPartitionedCall/Tanh;BiasAdd;model_1/fc1/StatefulPartitionedCall/BiasAdd;Tensordot/shape;model_1/fc1/StatefulPartitionedCall/Tensordot/shape;Tensordot;model_1/fc1/StatefulPartitionedCall/Tensordot;model_1/fc1/1869
FullyConnected,FullyConnected,NPU,240,34.09090909090909,1953,5.161750713606089,1840,10,1953,0,0,1728,1.9746314706890642,0.3456221198156682,MatMul;model_1/vad_gru/gru_cell_3/StatefulPartitionedCall/MatMul;BiasAdd;model_1/vad_gru/gru_cell_3/StatefulPartitionedCall/BiasAdd
Add,Add,NPU,272,38.63636363636363,16,0.04228776826302992,16,4,0,0,0,0,0.0,0.0,Sigmoid_1;model_1/vad_gru/gru_cell_3/StatefulPartitionedCall/Sigmoid_1
Sigmoid,LUT,NPU,0,0.0,0,0.0,0,0,0,0,0,0,0.0,100,Sigmoid_1;model_1/vad_gru/gru_cell_3/StatefulPartitionedCall/Sigmoid_1
Mul,Mul,NPU,0,0.0,0,0.0,0,0,0,0,0,0,0.0,100,mul;model_1/vad_gru/gru_cell_3/StatefulPartitionedCall/mul
Add,Add,NPU,272,38.63636363636363,8,0.02114388413151496,8,3,0,0,0,0,0.0,0.0,Tanh;model_1/vad_gru/gru_cell_3/StatefulPartitionedCall/Tanh
Tanh,LUT,NPU,0,0.0,0,0.0,0,0,0,0,0,0,0.0,100,Tanh;model_1/vad_gru/gru_cell_3/StatefulPartitionedCall/Tanh
