workload,binding_pair,source_id,op_identity,op_type,launches_256,launches_512,cycles_256,cycles_512,separable,observed_direction,tail_in_op_256,tail_in_op_512,vela_cycles_256,vela_cycles_512,ublock_256,ublock_512,block_256,block_512,stripes_256,stripes_512,cascade_256,cascade_512,UBLOCK_CHANGED,BLOCK_CONFIG_CHANGED,TILE_GEOMETRY_CHANGED,MEMORY_PLACEMENT_CHANGED,COMMAND_OR_PASS_STRUCTURE_CHANGED,active_512,sram_rd_512,sram_wr_512,ext_rd_512,ext_wr_512,active_256,sram_rd_256,sram_wr_256,ext_rd_256,ext_wr_256
rnnoise_INT8,B-frozen,1,FullyConnected|1x1x288|1x1|0,FullyConnected,1,1,,9015,0,NOT_SEPARATED,0,0,7929,7929,"[1, 4, 8]","[2, 2, 16]","OFM[1, 1, 4, 288] IFM[1, 1, 4, 64]","OFM[1, 2, 2, 288] IFM[1, 2, 2, 64]","IFM[1, 1, 1, 96] OFM[1, 1, 1, 288]","IFM[1, 1, 1, 96] OFM[1, 1, 1, 288]",0,0,1,1,0,0,0,9014,3,24,2201,0,,,,,
rnnoise_INT8,B-frozen,3,Reshape|1x1x42|1x1|2,Reshape,1,1,,,0,NOT_SEPARATED,0,0,,,,,,,,,,,,,,,0,,,,,,,,,,
rnnoise_INT8,B-frozen,4,FullyConnected|1x1x24|1x1|3,FullyConnected,1,1,2015,1015,1,IMPROVE,0,0,801,809,"[1, 4, 8]","[2, 2, 16]","OFM[1, 1, 4, 24] IFM[1, 1, 4, 64]","OFM[1, 2, 2, 32] IFM[1, 2, 2, 64]","IFM[1, 1, 1, 42] OFM[1, 1, 1, 24]","IFM[1, 1, 1, 42] OFM[1, 1, 1, 24]",0,0,1,1,0,0,0,1014,2,2,136,0,2014,2,6,270,0
rnnoise_INT8,B-frozen,8,FullyConnected|1x1x72|1x1|7,FullyConnected,1,1,,,0,NOT_SEPARATED,0,0,2037,2033,"[1, 4, 8]","[2, 2, 16]","OFM[1, 1, 4, 72] IFM[1, 1, 4, 64]","OFM[1, 2, 2, 80] IFM[1, 2, 2, 64]","IFM[1, 1, 1, 24] OFM[1, 1, 1, 72]","IFM[1, 1, 1, 24] OFM[1, 1, 1, 72]",0,0,1,1,0,0,0,,,,,,,,,,
rnnoise_INT8,B-frozen,10,FullyConnected|1x1x144|1x1|9,FullyConnected,1,1,,,0,NOT_SEPARATED,0,0,3888,3861,"[1, 4, 8]","[2, 2, 16]","OFM[1, 1, 4, 144] IFM[1, 1, 4, 64]","OFM[1, 2, 2, 144] IFM[1, 2, 2, 64]","IFM[1, 1, 1, 48] OFM[1, 1, 1, 144]","IFM[1, 1, 1, 48] OFM[1, 1, 1, 144]",0,0,1,1,0,0,0,,,,,,,,,,
rnnoise_INT8,B-frozen,12,FullyConnected|1x1x72|1x1|11,FullyConnected,1,1,,,0,NOT_SEPARATED,0,0,2037,2032,"[1, 4, 8]","[2, 2, 16]","OFM[1, 1, 4, 72] IFM[1, 1, 4, 64]","OFM[1, 2, 2, 80] IFM[1, 2, 2, 64]","IFM[1, 1, 1, 24] OFM[1, 1, 1, 72]","IFM[1, 1, 1, 24] OFM[1, 1, 1, 72]",0,0,1,1,0,0,0,,,,,,,,,,
rnnoise_INT8,B-frozen,14,Add|1x1x24|1x1|13,Add,1,1,,1015,0,NOT_SEPARATED,0,0,8,4,"[1, 2, 16]","[2, 2, 16]","OFM[1, 64, 32] IFM[1, 64, 32]","OFM[2, 128, 32] IFM[2, 128, 32]","IFM[1, 1, 1, 24] OFM[1, 1, 1, 24]","IFM[1, 1, 1, 24] OFM[1, 1, 1, 24]",0,0,1,1,0,0,0,1014,4,0,48,2,,,,,
rnnoise_INT8,B-frozen,16,Sub|1x1x24|1x1|15,Sub,1,1,,,0,NOT_SEPARATED,0,0,16,8,"[1, 2, 16]","[2, 2, 16]","OFM[1, 64, 32] IFM[1, 64, 32]","OFM[2, 128, 32] IFM[2, 128, 32]","IFM[1, 1, 1, 24] OFM[1, 1, 1, 24]","IFM[1, 1, 1, 24] OFM[1, 1, 1, 24]",0,0,1,1,0,0,0,,,,,,,,,,
rnnoise_INT8,B-frozen,17,Add|1x1x24|1x1|16,Add,1,1,,,0,NOT_SEPARATED,0,0,16,8,"[1, 2, 16]","[2, 2, 16]","OFM[1, 64, 32] IFM[1, 64, 32]","OFM[2, 128, 32] IFM[2, 128, 32]","IFM[1, 1, 1, 24] OFM[1, 1, 1, 24]","IFM[1, 1, 1, 24] OFM[1, 1, 1, 24]",0,0,1,1,0,0,0,,,,,,,,,,
rnnoise_INT8,B-frozen,19,Mul|1x1x24|1x1|18,Mul,1,1,,,0,NOT_SEPARATED,0,0,,,,,,,,,,,,,,,0,,,,,,,,,,
