workload,binding,unit,launches,source_ids,op_types,ccnt,tail,evt_active,evt_sram_rd,evt_sram_wr,evt_ext_rd,evt_ext_wr
rnnoise_INT8,256_Low,0,2,3 12,FullyConnected Reshape,2073,0,2007,3,8,347,0
rnnoise_INT8,256_Low,1,1,4,FullyConnected,2015,0,2014,2,6,270,0
rnnoise_INT8,256_Low,2,5,8 14 17 19 20,Add Add Add FullyConnected Mul,1015,0,1014,16,5,58,2
rnnoise_INT8,256_Low,3,4,16 22 23 24,Add Mul Mul Sub,1015,0,1014,4,2,39,4
rnnoise_INT8,256_Low,4,2,25 65,Pack Reshape,1015,0,1014,2,2,104,0
rnnoise_INT8,256_Low,5,1,66,FullyConnected,1015,0,1014,3,1,152,1
rnnoise_INT8,256_Low,6,6,10 26 27 28,Concat FullyConnected Quantize Quantize,2015,0,2014,14,20,684,0
rnnoise_INT8,256_Low,7,5,30 32 36 38 39,Add Add Add FullyConnected Mul,4015,0,4014,21,15,872,3
rnnoise_INT8,256_Low,8,2,35 40,Mul Sub,1015,0,1014,2,0,43,3
rnnoise_INT8,256_Low,9,3,34 41 42,Add Mul Pack,1015,0,1014,6,3,357,3
rnnoise_INT8,256_Low,10,2,1 45,Concat FullyConnected,7015,0,7014,0,24,1849,0
rnnoise_INT8,256_Low,11,4,43 44 45,Concat Quantize Quantize,1015,0,1014,15,13,371,0
rnnoise_INT8,256_Low,12,4,47 53 55 56,Add Add FullyConnected Mul,6015,0,6014,30,30,2234,0
rnnoise_INT8,256_Low,13,1,49,Add,1015,0,1014,14,0,41,8
rnnoise_INT8,256_Low,14,5,51 52 58 59 60,Add Mul Mul Pack Sub,3015,0,3014,10,6,38,10
rnnoise_INT8,256_Low,15,1,62,FullyConnected,1030,1,,,,,
rnnoise_INT8,512_Mid512,0,2,3 12,FullyConnected Reshape,4073,0,4007,3,8,270,0
rnnoise_INT8,512_Mid512,1,1,4,FullyConnected,1015,0,1014,2,2,136,0
rnnoise_INT8,512_Mid512,2,4,8 17 19 20,Add Add FullyConnected Mul,3015,0,3014,12,9,244,0
rnnoise_INT8,512_Mid512,3,1,14,Add,1015,0,1014,4,0,48,2
rnnoise_INT8,512_Mid512,4,4,16 22 23 24,Add Mul Mul Sub,2015,0,2014,4,2,44,4
rnnoise_INT8,512_Mid512,5,2,25 65,Pack Reshape,1015,0,1014,2,2,34,0
