workload,binding_pair,source_id,op_identity,launches_256,launches_512,sched_joined_256,sched_joined_512
rnnoise_INT8,B-frozen,1,FullyConnected|1x1x288|1x1|0,1,1,1,1
rnnoise_INT8,B-frozen,3,Reshape|1x1x42|1x1|2,1,1,0,0
rnnoise_INT8,B-frozen,4,FullyConnected|1x1x24|1x1|3,1,1,1,1
rnnoise_INT8,B-frozen,8,FullyConnected|1x1x72|1x1|7,1,1,1,1
rnnoise_INT8,B-frozen,10,FullyConnected|1x1x144|1x1|9,1,1,1,1
rnnoise_INT8,B-frozen,12,FullyConnected|1x1x72|1x1|11,1,1,1,1
rnnoise_INT8,B-frozen,14,Add|1x1x24|1x1|13,1,1,1,1
rnnoise_INT8,B-frozen,16,Sub|1x1x24|1x1|15,1,1,1,1
rnnoise_INT8,B-frozen,17,Add|1x1x24|1x1|16,1,1,1,1
rnnoise_INT8,B-frozen,19,Mul|1x1x24|1x1|18,1,1,0,0
rnnoise_INT8,B-frozen,20,Add|1x1x24|1x1|19,1,1,1,1
rnnoise_INT8,B-frozen,22,Mul|1x1x24|1x1|21,1,1,1,1
rnnoise_INT8,B-frozen,23,Mul|1x1x24|1x1|22,1,1,0,0
rnnoise_INT8,B-frozen,24,Add|1x1x24|1x1|23,1,1,0,0
rnnoise_INT8,B-frozen,25,Pack|1x1x24|1x1|24,1,1,0,0
rnnoise_INT8,B-frozen,26,Quantize|1x1x24|1x1|25,1,1,1,1
rnnoise_INT8,B-frozen,27,Quantize|1x1x24|1x1|26,1,1,1,1
rnnoise_INT8,B-frozen,28,Concat|1x1x90|1x1|27,3,3,0,0
rnnoise_INT8,B-frozen,30,FullyConnected|1x1x144|1x1|29,1,1,1,1
rnnoise_INT8,B-frozen,32,Add|1x1x48|1x1|31,1,1,1,1
rnnoise_INT8,B-frozen,34,Mul|1x1x48|1x1|33,1,1,0,0
rnnoise_INT8,B-frozen,35,Sub|1x1x48|1x1|34,1,1,1,1
rnnoise_INT8,B-frozen,36,Add|1x1x48|1x1|35,1,1,1,1
rnnoise_INT8,B-frozen,38,Mul|1x1x48|1x1|37,1,1,0,0
rnnoise_INT8,B-frozen,39,Add|1x1x48|1x1|38,1,1,1,1
rnnoise_INT8,B-frozen,40,Mul|1x1x48|1x1|39,1,1,1,1
rnnoise_INT8,B-frozen,41,Add|1x1x48|1x1|40,1,1,0,0
rnnoise_INT8,B-frozen,42,Pack|1x1x48|1x1|41,1,1,0,0
rnnoise_INT8,B-frozen,43,Quantize|1x1x48|1x1|42,1,1,1,1
rnnoise_INT8,B-frozen,44,Quantize|1x1x24|1x1|43,1,1,1,1
rnnoise_INT8,B-frozen,45,Concat|1x1x114|1x1|44,3,3,0,0
rnnoise_INT8,B-frozen,47,FullyConnected|1x1x288|1x1|46,1,1,1,1
rnnoise_INT8,B-frozen,49,Add|1x1x96|1x1|48,1,1,1,1
rnnoise_INT8,B-frozen,51,Mul|1x1x96|1x1|50,1,1,0,0
rnnoise_INT8,B-frozen,52,Sub|1x1x96|1x1|51,1,1,1,1
rnnoise_INT8,B-frozen,53,Add|1x1x96|1x1|52,1,1,1,1
rnnoise_INT8,B-frozen,55,Mul|1x1x96|1x1|54,1,1,0,0
rnnoise_INT8,B-frozen,56,Add|1x1x96|1x1|55,1,1,1,1
rnnoise_INT8,B-frozen,58,Mul|1x1x96|1x1|57,1,1,1,1
rnnoise_INT8,B-frozen,59,Add|1x1x96|1x1|58,1,1,0,0
rnnoise_INT8,B-frozen,60,Pack|1x1x96|1x1|59,1,1,0,0
rnnoise_INT8,B-frozen,62,FullyConnected|1x1x22|1x1|61,1,1,1,1
rnnoise_INT8,B-frozen,65,Reshape|1x1x24|1x1|64,1,1,0,0
rnnoise_INT8,B-frozen,66,FullyConnected|1x1x1|1x1|65,1,1,1,1
rnnoise_INT8,B-held,1,FullyConnected|1x1x288|1x1|0,1,1,1,1
rnnoise_INT8,B-held,3,Reshape|1x1x42|1x1|2,1,1,0,0
rnnoise_INT8,B-held,4,FullyConnected|1x1x24|1x1|3,1,1,1,1
rnnoise_INT8,B-held,8,FullyConnected|1x1x72|1x1|7,1,1,1,1
rnnoise_INT8,B-held,10,FullyConnected|1x1x144|1x1|9,1,1,1,1
rnnoise_INT8,B-held,12,FullyConnected|1x1x72|1x1|11,1,1,1,1
rnnoise_INT8,B-held,14,Add|1x1x24|1x1|13,1,1,1,1
rnnoise_INT8,B-held,16,Sub|1x1x24|1x1|15,1,1,1,1
