workload,npu,mac,source_model_sha256,memory_mode,system_config,platform_A,platform_B,vela_artifact_sha256_A,vela_artifact_sha256_B,vela_artifact_identity,host_firmware_identity,per_platform_executability,cross_platform_same_artifact_portability,reuse_class
ad_medium_int8,ethos-u55,128,a8b1c9037c2a80e6ff770f0a550777cf744a52850bed6545b2bfc9bacf604c98,Shared_Sram,Ethos_U55_High_End_Embedded,SSE-300,SSE-310,1e7e4a459f8558ab58f27b37518d93c9a04c3661567357377d96458d6dc5942e,1e7e4a459f8558ab58f27b37518d93c9a04c3661567357377d96458d6dc5942e,IDENTICAL,PLATFORM_SPECIFIC,EXECUTABLE/EXECUTABLE,ESTABLISHED,FIRMWARE_PLATFORM_SPECIFIC_BUT_NPU_ARTIFACT_IDENTICAL
ad_medium_int8,ethos-u55,256,a8b1c9037c2a80e6ff770f0a550777cf744a52850bed6545b2bfc9bacf604c98,Shared_Sram,Ethos_U55_High_End_Embedded,SSE-300,SSE-310,55604afab6a7778a3186bc4b2ecd0726fec4239bbaeb812d7d9ed52b4a89eded,55604afab6a7778a3186bc4b2ecd0726fec4239bbaeb812d7d9ed52b4a89eded,IDENTICAL,PLATFORM_SPECIFIC,EXECUTABLE/EXECUTABLE,ESTABLISHED,FIRMWARE_PLATFORM_SPECIFIC_BUT_NPU_ARTIFACT_IDENTICAL
ad_medium_int8,ethos-u55,32,a8b1c9037c2a80e6ff770f0a550777cf744a52850bed6545b2bfc9bacf604c98,Shared_Sram,Ethos_U55_High_End_Embedded,SSE-300,SSE-310,feb375c21683114ff27cb6572e7749679110cc7558dbb0ed0cac7a44931aa19f,feb375c21683114ff27cb6572e7749679110cc7558dbb0ed0cac7a44931aa19f,IDENTICAL,PLATFORM_SPECIFIC,EXECUTABLE/EXECUTABLE,ESTABLISHED,FIRMWARE_PLATFORM_SPECIFIC_BUT_NPU_ARTIFACT_IDENTICAL
ad_medium_int8,ethos-u55,64,a8b1c9037c2a80e6ff770f0a550777cf744a52850bed6545b2bfc9bacf604c98,Shared_Sram,Ethos_U55_High_End_Embedded,SSE-300,SSE-310,b6c5e8d4b57cb6ab2da50515827b457491c902755cf8208e6b80fb09b6273480,b6c5e8d4b57cb6ab2da50515827b457491c902755cf8208e6b80fb09b6273480,IDENTICAL,PLATFORM_SPECIFIC,EXECUTABLE/EXECUTABLE,ESTABLISHED,FIRMWARE_PLATFORM_SPECIFIC_BUT_NPU_ARTIFACT_IDENTICAL
ad_medium_int8,ethos-u65,256,a8b1c9037c2a80e6ff770f0a550777cf744a52850bed6545b2bfc9bacf604c98,Dedicated_Sram,Ethos_U65_High_End,SSE-300,SSE-310,a18115c749b13ab554dc75239523f7a3ea56650fd4f3990ffde2573702cdfe57,a18115c749b13ab554dc75239523f7a3ea56650fd4f3990ffde2573702cdfe57,IDENTICAL,PLATFORM_SPECIFIC,EXECUTABLE/EXECUTABLE,ESTABLISHED,FIRMWARE_PLATFORM_SPECIFIC_BUT_NPU_ARTIFACT_IDENTICAL
ad_medium_int8,ethos-u65,256,a8b1c9037c2a80e6ff770f0a550777cf744a52850bed6545b2bfc9bacf604c98,Dedicated_Sram,Ethos_U65_High_End,SSE-300,SSE-315,a18115c749b13ab554dc75239523f7a3ea56650fd4f3990ffde2573702cdfe57,a18115c749b13ab554dc75239523f7a3ea56650fd4f3990ffde2573702cdfe57,IDENTICAL,PLATFORM_SPECIFIC,EXECUTABLE/EXECUTABLE,ESTABLISHED,FIRMWARE_PLATFORM_SPECIFIC_BUT_NPU_ARTIFACT_IDENTICAL
ad_medium_int8,ethos-u65,256,a8b1c9037c2a80e6ff770f0a550777cf744a52850bed6545b2bfc9bacf604c98,Dedicated_Sram,Ethos_U65_High_End,SSE-310,SSE-315,a18115c749b13ab554dc75239523f7a3ea56650fd4f3990ffde2573702cdfe57,a18115c749b13ab554dc75239523f7a3ea56650fd4f3990ffde2573702cdfe57,IDENTICAL,PLATFORM_SPECIFIC,EXECUTABLE/EXECUTABLE,ESTABLISHED,FIRMWARE_PLATFORM_SPECIFIC_BUT_NPU_ARTIFACT_IDENTICAL
ad_medium_int8,ethos-u65,512,a8b1c9037c2a80e6ff770f0a550777cf744a52850bed6545b2bfc9bacf604c98,Dedicated_Sram,Ethos_U65_High_End,SSE-300,SSE-310,6af7fcec9a9518d706acf4c4705a4ed2aedcfb4ccfcd192da8e449e3244a4659,6af7fcec9a9518d706acf4c4705a4ed2aedcfb4ccfcd192da8e449e3244a4659,IDENTICAL,PLATFORM_SPECIFIC,EXECUTABLE/EXECUTABLE,ESTABLISHED,FIRMWARE_PLATFORM_SPECIFIC_BUT_NPU_ARTIFACT_IDENTICAL
ad_medium_int8,ethos-u65,512,a8b1c9037c2a80e6ff770f0a550777cf744a52850bed6545b2bfc9bacf604c98,Dedicated_Sram,Ethos_U65_High_End,SSE-300,SSE-315,6af7fcec9a9518d706acf4c4705a4ed2aedcfb4ccfcd192da8e449e3244a4659,6af7fcec9a9518d706acf4c4705a4ed2aedcfb4ccfcd192da8e449e3244a4659,IDENTICAL,PLATFORM_SPECIFIC,EXECUTABLE/EXECUTABLE,ESTABLISHED,FIRMWARE_PLATFORM_SPECIFIC_BUT_NPU_ARTIFACT_IDENTICAL
ad_medium_int8,ethos-u65,512,a8b1c9037c2a80e6ff770f0a550777cf744a52850bed6545b2bfc9bacf604c98,Dedicated_Sram,Ethos_U65_High_End,SSE-310,SSE-315,6af7fcec9a9518d706acf4c4705a4ed2aedcfb4ccfcd192da8e449e3244a4659,6af7fcec9a9518d706acf4c4705a4ed2aedcfb4ccfcd192da8e449e3244a4659,IDENTICAL,PLATFORM_SPECIFIC,EXECUTABLE/EXECUTABLE,ESTABLISHED,FIRMWARE_PLATFORM_SPECIFIC_BUT_NPU_ARTIFACT_IDENTICAL
kws_micronet_m,ethos-u55,128,c1feed3af5dac44de7477fb4161670ba18a3fc06039e4a14da41b1c4dd454cb4,Shared_Sram,Ethos_U55_High_End_Embedded,SSE-300,SSE-310,d98a6f40c47fb2ebc88f9ece65db40452220c19e23d014eb8706348215943406,d98a6f40c47fb2ebc88f9ece65db40452220c19e23d014eb8706348215943406,IDENTICAL,PLATFORM_SPECIFIC,EXECUTABLE/EXECUTABLE,ESTABLISHED,FIRMWARE_PLATFORM_SPECIFIC_BUT_NPU_ARTIFACT_IDENTICAL
kws_micronet_m,ethos-u55,256,c1feed3af5dac44de7477fb4161670ba18a3fc06039e4a14da41b1c4dd454cb4,Shared_Sram,Ethos_U55_High_End_Embedded,SSE-300,SSE-310,bfbeaedf0e11e287334519e9347ac74044a7f4b462372c167f5240e755ed02bc,bfbeaedf0e11e287334519e9347ac74044a7f4b462372c167f5240e755ed02bc,IDENTICAL,PLATFORM_SPECIFIC,EXECUTABLE/EXECUTABLE,ESTABLISHED,FIRMWARE_PLATFORM_SPECIFIC_BUT_NPU_ARTIFACT_IDENTICAL
kws_micronet_m,ethos-u55,32,c1feed3af5dac44de7477fb4161670ba18a3fc06039e4a14da41b1c4dd454cb4,Shared_Sram,Ethos_U55_High_End_Embedded,SSE-300,SSE-310,09bf0e8f3fc493b2938887584ffb6fd47936c04b6ce44b674f7cff93d58e783f,09bf0e8f3fc493b2938887584ffb6fd47936c04b6ce44b674f7cff93d58e783f,IDENTICAL,PLATFORM_SPECIFIC,EXECUTABLE/EXECUTABLE,ESTABLISHED,FIRMWARE_PLATFORM_SPECIFIC_BUT_NPU_ARTIFACT_IDENTICAL
kws_micronet_m,ethos-u55,64,c1feed3af5dac44de7477fb4161670ba18a3fc06039e4a14da41b1c4dd454cb4,Shared_Sram,Ethos_U55_High_End_Embedded,SSE-300,SSE-310,80e6eab37ccb675ae7028d2844e6207a7d500d4f43536e4ea9749362c6be57ee,80e6eab37ccb675ae7028d2844e6207a7d500d4f43536e4ea9749362c6be57ee,IDENTICAL,PLATFORM_SPECIFIC,EXECUTABLE/EXECUTABLE,ESTABLISHED,FIRMWARE_PLATFORM_SPECIFIC_BUT_NPU_ARTIFACT_IDENTICAL
kws_micronet_m,ethos-u65,256,c1feed3af5dac44de7477fb4161670ba18a3fc06039e4a14da41b1c4dd454cb4,Dedicated_Sram,Ethos_U65_High_End,SSE-300,SSE-310,8b7930df8bb7ff522beb03199b725cf3a920fe6cf465df13a880d0f87a202d74,8b7930df8bb7ff522beb03199b725cf3a920fe6cf465df13a880d0f87a202d74,IDENTICAL,PLATFORM_SPECIFIC,EXECUTABLE/EXECUTABLE,ESTABLISHED,FIRMWARE_PLATFORM_SPECIFIC_BUT_NPU_ARTIFACT_IDENTICAL
kws_micronet_m,ethos-u65,256,c1feed3af5dac44de7477fb4161670ba18a3fc06039e4a14da41b1c4dd454cb4,Dedicated_Sram,Ethos_U65_High_End,SSE-300,SSE-315,8b7930df8bb7ff522beb03199b725cf3a920fe6cf465df13a880d0f87a202d74,8b7930df8bb7ff522beb03199b725cf3a920fe6cf465df13a880d0f87a202d74,IDENTICAL,PLATFORM_SPECIFIC,EXECUTABLE/EXECUTABLE,ESTABLISHED,FIRMWARE_PLATFORM_SPECIFIC_BUT_NPU_ARTIFACT_IDENTICAL
kws_micronet_m,ethos-u65,256,c1feed3af5dac44de7477fb4161670ba18a3fc06039e4a14da41b1c4dd454cb4,Dedicated_Sram,Ethos_U65_High_End,SSE-310,SSE-315,8b7930df8bb7ff522beb03199b725cf3a920fe6cf465df13a880d0f87a202d74,8b7930df8bb7ff522beb03199b725cf3a920fe6cf465df13a880d0f87a202d74,IDENTICAL,PLATFORM_SPECIFIC,EXECUTABLE/EXECUTABLE,ESTABLISHED,FIRMWARE_PLATFORM_SPECIFIC_BUT_NPU_ARTIFACT_IDENTICAL
kws_micronet_m,ethos-u65,512,c1feed3af5dac44de7477fb4161670ba18a3fc06039e4a14da41b1c4dd454cb4,Dedicated_Sram,Ethos_U65_High_End,SSE-300,SSE-310,7b67b867a8206bdaaf05869c11ff67f1462210055c126dcd13de422633d17216,7b67b867a8206bdaaf05869c11ff67f1462210055c126dcd13de422633d17216,IDENTICAL,PLATFORM_SPECIFIC,EXECUTABLE/EXECUTABLE,ESTABLISHED,FIRMWARE_PLATFORM_SPECIFIC_BUT_NPU_ARTIFACT_IDENTICAL
kws_micronet_m,ethos-u65,512,c1feed3af5dac44de7477fb4161670ba18a3fc06039e4a14da41b1c4dd454cb4,Dedicated_Sram,Ethos_U65_High_End,SSE-300,SSE-315,7b67b867a8206bdaaf05869c11ff67f1462210055c126dcd13de422633d17216,7b67b867a8206bdaaf05869c11ff67f1462210055c126dcd13de422633d17216,IDENTICAL,PLATFORM_SPECIFIC,EXECUTABLE/EXECUTABLE,ESTABLISHED,FIRMWARE_PLATFORM_SPECIFIC_BUT_NPU_ARTIFACT_IDENTICAL
kws_micronet_m,ethos-u65,512,c1feed3af5dac44de7477fb4161670ba18a3fc06039e4a14da41b1c4dd454cb4,Dedicated_Sram,Ethos_U65_High_End,SSE-310,SSE-315,7b67b867a8206bdaaf05869c11ff67f1462210055c126dcd13de422633d17216,7b67b867a8206bdaaf05869c11ff67f1462210055c126dcd13de422633d17216,IDENTICAL,PLATFORM_SPECIFIC,EXECUTABLE/EXECUTABLE,ESTABLISHED,FIRMWARE_PLATFORM_SPECIFIC_BUT_NPU_ARTIFACT_IDENTICAL
mobilenet_v2_1.0_224_INT8,ethos-u55,128,bd8d56b80557a5fca7acf14f61e5339285c02810f7d7afa714b9763fc4b86e95,Shared_Sram,Ethos_U55_High_End_Embedded,SSE-300,SSE-310,621da9778b5d1410af463cecc251fcf49c12eaab24b115a7aa00f54093d808bf,621da9778b5d1410af463cecc251fcf49c12eaab24b115a7aa00f54093d808bf,IDENTICAL,PLATFORM_SPECIFIC,EXECUTABLE/EXECUTABLE,ESTABLISHED,FIRMWARE_PLATFORM_SPECIFIC_BUT_NPU_ARTIFACT_IDENTICAL
