npu,mac,workload,classification,exec_SSE-300,exec_SSE-310,exec_SSE-315
ethos-u55,32,ad_medium_int8,COMMON_EXECUTABLE,EXECUTABLE,EXECUTABLE,
ethos-u55,32,kws_micronet_m,COMMON_EXECUTABLE,EXECUTABLE,EXECUTABLE,
ethos-u55,32,mobilenet_v2_1.0_224_INT8,COMMON_EXECUTABLE,EXECUTABLE,EXECUTABLE,
ethos-u55,32,rnnoise_INT8,COMMON_EXECUTABLE,EXECUTABLE,EXECUTABLE,
ethos-u55,32,vww4_128_128_INT8,COMMON_EXECUTABLE,EXECUTABLE,EXECUTABLE,
ethos-u55,32,wav2letter_pruned_int8,MEMORY_LIMIT,NOT_EXECUTABLE_MEMORY,NOT_EXECUTABLE_MEMORY,
ethos-u55,32,yolo-fastest_192_face_v4,COMMON_EXECUTABLE,EXECUTABLE,EXECUTABLE,
ethos-u55,64,ad_medium_int8,COMMON_EXECUTABLE,EXECUTABLE,EXECUTABLE,
ethos-u55,64,kws_micronet_m,COMMON_EXECUTABLE,EXECUTABLE,EXECUTABLE,
ethos-u55,64,mobilenet_v2_1.0_224_INT8,COMMON_EXECUTABLE,EXECUTABLE,EXECUTABLE,
ethos-u55,64,rnnoise_INT8,COMMON_EXECUTABLE,EXECUTABLE,EXECUTABLE,
ethos-u55,64,vww4_128_128_INT8,COMMON_EXECUTABLE,EXECUTABLE,EXECUTABLE,
ethos-u55,64,wav2letter_pruned_int8,MEMORY_LIMIT,NOT_EXECUTABLE_MEMORY,NOT_EXECUTABLE_MEMORY,
ethos-u55,64,yolo-fastest_192_face_v4,COMMON_EXECUTABLE,EXECUTABLE,EXECUTABLE,
ethos-u55,128,ad_medium_int8,COMMON_EXECUTABLE,EXECUTABLE,EXECUTABLE,
ethos-u55,128,kws_micronet_m,COMMON_EXECUTABLE,EXECUTABLE,EXECUTABLE,
ethos-u55,128,mobilenet_v2_1.0_224_INT8,COMMON_EXECUTABLE,EXECUTABLE,EXECUTABLE,
ethos-u55,128,rnnoise_INT8,COMMON_EXECUTABLE,EXECUTABLE,EXECUTABLE,
ethos-u55,128,vww4_128_128_INT8,COMMON_EXECUTABLE,EXECUTABLE,EXECUTABLE,
ethos-u55,128,wav2letter_pruned_int8,MEMORY_LIMIT,NOT_EXECUTABLE_MEMORY,NOT_EXECUTABLE_MEMORY,
ethos-u55,128,yolo-fastest_192_face_v4,COMMON_EXECUTABLE,EXECUTABLE,EXECUTABLE,
ethos-u55,256,ad_medium_int8,COMMON_EXECUTABLE,EXECUTABLE,EXECUTABLE,
ethos-u55,256,kws_micronet_m,COMMON_EXECUTABLE,EXECUTABLE,EXECUTABLE,
ethos-u55,256,mobilenet_v2_1.0_224_INT8,COMMON_EXECUTABLE,EXECUTABLE,EXECUTABLE,
ethos-u55,256,rnnoise_INT8,COMMON_EXECUTABLE,EXECUTABLE,EXECUTABLE,
ethos-u55,256,vww4_128_128_INT8,COMMON_EXECUTABLE,EXECUTABLE,EXECUTABLE,
ethos-u55,256,wav2letter_pruned_int8,COMMON_EXECUTABLE,EXECUTABLE,EXECUTABLE,
ethos-u55,256,yolo-fastest_192_face_v4,COMMON_EXECUTABLE,EXECUTABLE,EXECUTABLE,
ethos-u65,256,ad_medium_int8,COMMON_EXECUTABLE,EXECUTABLE,EXECUTABLE,EXECUTABLE
ethos-u65,256,kws_micronet_m,COMMON_EXECUTABLE,EXECUTABLE,EXECUTABLE,EXECUTABLE
ethos-u65,256,mobilenet_v2_1.0_224_INT8,COMMON_EXECUTABLE,EXECUTABLE,EXECUTABLE,EXECUTABLE
ethos-u65,256,rnnoise_INT8,COMMON_EXECUTABLE,EXECUTABLE,EXECUTABLE,EXECUTABLE
ethos-u65,256,vww4_128_128_INT8,COMMON_EXECUTABLE,EXECUTABLE,EXECUTABLE,EXECUTABLE
ethos-u65,256,wav2letter_pruned_int8,COMMON_EXECUTABLE,EXECUTABLE,EXECUTABLE,EXECUTABLE
ethos-u65,256,yolo-fastest_192_face_v4,COMMON_EXECUTABLE,EXECUTABLE,EXECUTABLE,EXECUTABLE
ethos-u65,512,ad_medium_int8,COMMON_EXECUTABLE,EXECUTABLE,EXECUTABLE,EXECUTABLE
ethos-u65,512,kws_micronet_m,COMMON_EXECUTABLE,EXECUTABLE,EXECUTABLE,EXECUTABLE
ethos-u65,512,mobilenet_v2_1.0_224_INT8,COMMON_EXECUTABLE,EXECUTABLE,EXECUTABLE,EXECUTABLE
ethos-u65,512,rnnoise_INT8,COMMON_EXECUTABLE,EXECUTABLE,EXECUTABLE,EXECUTABLE
ethos-u65,512,vww4_128_128_INT8,COMMON_EXECUTABLE,EXECUTABLE,EXECUTABLE,EXECUTABLE
ethos-u65,512,wav2letter_pruned_int8,COMMON_EXECUTABLE,EXECUTABLE,EXECUTABLE,EXECUTABLE
ethos-u65,512,yolo-fastest_192_face_v4,COMMON_EXECUTABLE,EXECUTABLE,EXECUTABLE,EXECUTABLE
